protein_id,length,n_windows,last_window_start,residues_lost_by_truncation,source
XP_015650009.1,2162,4,1140,1140,proteome
XP_025878634.1,2162,4,1140,1140,proteome
XP_015636082.1,2158,4,1136,1136,proteome
XP_025880305.1,2158,4,1136,1136,proteome
XP_015625723.1,2153,4,1131,1131,proteome
XP_015625429.1,2150,4,1128,1128,proteome
XP_015617271.1,2138,4,1116,1116,proteome
XP_015643045.1,2137,4,1115,1115,proteome
XP_015619226.1,2135,4,1113,1113,proteome
XP_015625332.1,2133,4,1111,1111,proteome
XP_015643423.1,2133,4,1111,1111,proteome
XP_015643424.1,2133,4,1111,1111,proteome
XP_015625333.1,2132,4,1110,1110,proteome
XP_015635467.2,2121,4,1099,1099,proteome
XP_015614246.1,2117,4,1095,1095,proteome
XP_015643213.1,2108,4,1086,1086,proteome
XP_015616303.1,2107,4,1085,1085,proteome
XP_015610673.1,2101,4,1079,1079,proteome
XP_015631167.1,2097,4,1075,1075,proteome
XP_015629947.1,2083,4,1061,1061,proteome
XP_015619406.1,2070,4,1048,1048,proteome
XP_015619407.1,2070,4,1048,1048,proteome
XP_015643042.1,2070,4,1048,1048,proteome
XP_025877669.1,2070,4,1048,1048,proteome
XP_015643043.1,2068,4,1046,1046,proteome
XP_015650803.1,2062,4,1040,1040,proteome
XP_015616308.1,2061,4,1039,1039,proteome
XP_015616315.1,2051,4,1029,1029,proteome
XP_015643215.1,2051,4,1029,1029,proteome
XP_015632082.1,2050,4,1028,1028,proteome
XP_015632083.1,2049,4,1027,1027,proteome
XP_025878605.1,2049,4,1027,1027,proteome
XP_025878606.1,2049,4,1027,1027,proteome
XP_025880306.1,2046,4,1024,1024,proteome
XP_015632084.1,2045,4,1023,1023,proteome
XP_015625604.1,2044,3,1022,1022,proteome
XP_025882610.1,2042,3,1020,1020,proteome
XP_015614104.1,2040,3,1018,1018,proteome
XP_015614105.1,2039,3,1017,1017,proteome
XP_015614106.1,2036,3,1014,1014,proteome
XP_015625576.1,2034,3,1012,1012,proteome
XP_025879020.1,2034,3,1012,1012,proteome
XP_015614081.1,2033,3,1011,1011,proteome
XP_015625577.1,2033,3,1011,1011,proteome
XP_025879820.1,2027,3,1005,1005,proteome
XP_015616777.1,1998,3,976,976,proteome
XP_015616781.1,1997,3,975,975,proteome
XP_015626962.1,1996,3,974,974,proteome
XP_015631516.1,1977,3,955,955,proteome
XP_025879821.1,1976,3,954,954,proteome
XP_025876569.1,1972,3,950,950,proteome
XP_015644576.1,1970,3,948,948,proteome
XP_015624612.1,1969,3,947,947,proteome
XP_015614533.1,1968,3,946,946,proteome
XP_015644577.1,1967,3,945,945,proteome
XP_015611607.1,1965,3,943,943,proteome
XP_015611608.1,1964,3,942,942,proteome
XP_015625443.1,1962,3,940,940,proteome
XP_015643901.2,1960,3,938,938,proteome
XP_015642508.1,1959,3,937,937,proteome
XP_025882277.1,1959,3,937,937,proteome
XP_015650531.1,1952,3,930,930,proteome
XP_015650539.1,1952,3,930,930,proteome
XP_025879893.1,1946,3,924,924,proteome
XP_025882613.1,1945,3,923,923,proteome
XP_015631635.1,1940,3,918,918,proteome
XP_015631168.1,1934,3,912,912,proteome
XP_015646988.1,1933,3,911,911,proteome
XP_015626027.1,1927,3,905,905,proteome
XP_015626028.1,1927,3,905,905,proteome
XP_015626029.1,1927,3,905,905,proteome
XP_015626030.1,1927,3,905,905,proteome
XP_025878772.1,1927,3,905,905,proteome
XP_025879428.1,1925,3,903,903,proteome
XP_015612699.1,1921,3,899,899,proteome
XP_015643194.1,1919,3,897,897,proteome
XP_025881570.1,1919,3,897,897,proteome
XP_015613872.1,1913,3,891,891,proteome
XP_025876141.1,1913,3,891,891,proteome
XP_015639680.1,1912,3,890,890,proteome
XP_015639681.1,1912,3,890,890,proteome
XP_015639682.1,1912,3,890,890,proteome
XP_015639683.1,1912,3,890,890,proteome
XP_015643114.1,1908,3,886,886,proteome
XP_015651374.1,1908,3,886,886,proteome
XP_015630625.1,1906,3,884,884,proteome
XP_015621615.1,1905,3,883,883,proteome
XP_015647230.1,1905,3,883,883,proteome
XP_015649734.1,1903,3,881,881,proteome
XP_015614399.1,1899,3,877,877,proteome
XP_015617107.1,1895,3,873,873,proteome
XP_015630428.1,1892,3,870,870,proteome
XP_015617236.1,1888,3,866,866,proteome
XP_015649735.1,1885,3,863,863,proteome
XP_025882351.1,1884,3,862,862,proteome
XP_015643034.1,1879,3,857,857,proteome
XP_025876436.1,1871,3,849,849,proteome
XP_015639222.1,1867,3,845,845,proteome
XP_015639223.1,1867,3,845,845,proteome
XP_015639225.1,1867,3,845,845,proteome
XP_015639226.1,1867,3,845,845,proteome
XP_015639227.1,1866,3,844,844,proteome
XP_015636003.1,1863,3,841,841,proteome
XP_015625334.1,1862,3,840,840,proteome
XP_015616412.1,1856,3,834,834,proteome
XP_015639400.1,1855,3,833,833,proteome
XP_015649819.1,1855,3,833,833,proteome
XP_015635613.1,1854,3,832,832,proteome
XP_015635614.1,1854,3,832,832,proteome
XP_015635615.1,1854,3,832,832,proteome
XP_015639401.1,1854,3,832,832,proteome
XP_015626018.1,1849,3,827,827,proteome
XP_015635616.1,1849,3,827,827,proteome
XP_015647996.1,1842,3,820,820,proteome
XP_015639228.1,1840,3,818,818,proteome
XP_015647120.1,1839,3,817,817,proteome
XP_015649247.1,1838,3,816,816,proteome
XP_015625518.1,1837,3,815,815,proteome
XP_015631338.1,1835,3,813,813,proteome
XP_015625166.1,1834,3,812,812,proteome
XP_015638336.1,1834,3,812,812,proteome
XP_015614418.1,1832,3,810,810,proteome
XP_025876464.1,1832,3,810,810,proteome
XP_015649930.1,1831,3,809,809,proteome
XP_015611529.1,1825,3,803,803,proteome
XP_015636007.1,1821,3,799,799,proteome
XP_015619968.1,1819,3,797,797,proteome
XP_015640103.1,1817,3,795,795,proteome
XP_015631729.1,1816,3,794,794,proteome
XP_015631730.1,1816,3,794,794,proteome
XP_015631731.1,1816,3,794,794,proteome
XP_015617073.1,1815,3,793,793,proteome
XP_015634942.1,1814,3,792,792,proteome
XP_015646814.1,1814,3,792,792,proteome
XP_015640367.1,1812,3,790,790,proteome
XP_015646815.1,1812,3,790,790,proteome
XP_015640368.1,1811,3,789,789,proteome
XP_015643264.1,1811,3,789,789,proteome
XP_015643080.1,1810,3,788,788,proteome
XP_015643265.1,1810,3,788,788,proteome
XP_015643266.1,1809,3,787,787,proteome
XP_015630499.1,1808,3,786,786,proteome
XP_015646816.1,1808,3,786,786,proteome
XP_015630500.1,1807,3,785,785,proteome
XP_015639385.1,1802,3,780,780,proteome
XP_015639386.1,1801,3,779,779,proteome
XP_015647121.1,1799,3,777,777,proteome
XP_015643425.1,1795,3,773,773,proteome
XP_015646496.1,1792,3,770,770,proteome
XP_015616625.1,1790,3,768,768,proteome
XP_015616631.1,1790,3,768,768,proteome
XP_015616637.1,1790,3,768,768,proteome
XP_015630656.1,1789,3,767,767,proteome
XP_025880043.1,1789,3,767,767,proteome
XP_015650668.1,1788,3,766,766,proteome
XP_015650669.1,1788,3,766,766,proteome
XP_015650670.1,1788,3,766,766,proteome
XP_015650671.1,1788,3,766,766,proteome
XP_015615751.1,1779,3,757,757,proteome
XP_015626109.1,1777,3,755,755,proteome
XP_025877579.1,1777,3,755,755,proteome
XP_015630767.1,1772,3,750,750,proteome
XP_015650712.1,1769,3,747,747,proteome
XP_015650719.1,1769,3,747,747,proteome
XP_015625813.1,1765,3,743,743,proteome
XP_025877668.1,1764,3,742,742,proteome
XP_015612986.2,1759,3,737,737,proteome
XP_015647184.1,1759,3,737,737,proteome
XP_015614386.1,1752,3,730,730,proteome
XP_015614387.1,1749,3,727,727,proteome
XP_015631653.1,1749,3,727,727,proteome
XP_015646567.1,1749,3,727,727,proteome
XP_015612126.1,1747,3,725,725,proteome
XP_015615760.1,1744,3,722,722,proteome
XP_015626964.1,1744,3,722,722,proteome
XP_015643540.1,1741,3,719,719,proteome
XP_015611937.1,1740,3,718,718,proteome
XP_015646509.1,1739,3,717,717,proteome
XP_025878395.1,1737,3,715,715,proteome
XP_015646510.1,1734,3,712,712,proteome
XP_015646613.1,1732,3,710,710,proteome
XP_015646688.1,1731,3,709,709,proteome
XP_015635737.1,1720,3,698,698,proteome
XP_015646817.1,1720,3,698,698,proteome
XP_015631655.1,1718,3,696,696,proteome
XP_015646883.1,1718,3,696,696,proteome
XP_015640385.1,1714,3,692,692,proteome
XP_015625488.1,1713,3,691,691,proteome
XP_015626291.1,1712,3,690,690,proteome
XP_025878559.1,1712,3,690,690,proteome
XP_015612987.2,1708,3,686,686,proteome
XP_015616901.1,1708,3,686,686,proteome
XP_015619821.1,1708,3,686,686,proteome
XP_015651375.1,1707,3,685,685,proteome
XP_015623583.1,1706,3,684,684,proteome
XP_015629583.1,1697,3,675,675,proteome
XP_015631598.1,1697,3,675,675,proteome
XP_015619908.1,1696,3,674,674,proteome
XP_015646801.1,1696,3,674,674,proteome
XP_025878396.1,1695,3,673,673,proteome
XP_025878519.1,1694,3,672,672,proteome
XP_015630645.1,1693,3,671,671,proteome
XP_015630646.1,1693,3,671,671,proteome
XP_015643267.1,1693,3,671,671,proteome
XP_015625316.1,1687,3,665,665,proteome
XP_015646867.1,1686,3,664,664,proteome
XP_015649922.1,1684,3,662,662,proteome
XP_015619909.1,1681,3,659,659,proteome
XP_015647373.1,1679,3,657,657,proteome
XP_025883058.1,1679,3,657,657,proteome
XP_015620016.1,1677,3,655,655,proteome
XP_025877692.1,1677,3,655,655,proteome
XP_015626292.1,1676,3,654,654,proteome
XP_025877693.1,1673,3,651,651,proteome
XP_015625243.1,1671,3,649,649,proteome
XP_015626425.1,1668,3,646,646,proteome
XP_015646868.1,1667,3,645,645,proteome
XP_015626295.1,1663,3,641,641,proteome
XP_015640369.1,1659,3,637,637,proteome
XP_015647374.1,1657,3,635,635,proteome
XP_015621462.1,1651,3,629,629,proteome
XP_015615307.1,1649,3,627,627,proteome
XP_015615308.1,1649,3,627,627,proteome
XP_015650904.1,1647,3,625,625,proteome
XP_025879788.1,1645,3,623,623,proteome
XP_025881163.1,1645,3,623,623,proteome
XP_025881164.1,1645,3,623,623,proteome
XP_015615597.1,1644,3,622,622,proteome
XP_025877499.1,1644,3,622,622,proteome
XP_015615442.1,1643,3,621,621,proteome
XP_015626965.1,1643,3,621,621,proteome
XP_015639441.1,1639,3,617,617,proteome
XP_015625607.1,1638,3,616,616,proteome
XP_015638707.1,1637,3,615,615,proteome
XP_015636293.1,1631,3,609,609,proteome
XP_015650196.1,1630,3,608,608,proteome
XP_025876707.1,1630,3,608,608,proteome
XP_015611864.1,1629,3,607,607,proteome
XP_015635452.1,1628,3,606,606,proteome
XP_015635453.1,1628,3,606,606,proteome
XP_015636212.1,1628,3,606,606,proteome
XP_015611938.1,1627,3,605,605,proteome
XP_015613561.1,1627,3,605,605,proteome
XP_015613597.1,1627,3,605,605,proteome
XP_015639126.1,1627,3,605,605,proteome
XP_015639127.1,1627,3,605,605,proteome
XP_015639128.1,1627,3,605,605,proteome
XP_015639129.1,1627,3,605,605,proteome
XP_015646968.1,1627,3,605,605,proteome
XP_015643668.1,1625,3,603,603,proteome
XP_025880760.1,1625,3,603,603,proteome
XP_015621345.1,1621,3,599,599,proteome
XP_015621346.1,1621,3,599,599,proteome
XP_015621347.1,1621,3,599,599,proteome
XP_025879725.1,1621,3,599,599,proteome
XP_015620797.1,1620,3,598,598,proteome
XP_015625114.1,1620,3,598,598,proteome
XP_015625154.1,1620,3,598,598,proteome
XP_015621349.1,1619,3,597,597,proteome
XP_015619298.1,1618,3,596,596,proteome
XP_015646712.1,1615,3,593,593,proteome
XP_015647185.1,1614,3,592,592,proteome
XP_015612403.1,1611,3,589,589,proteome
XP_015650089.1,1610,3,588,588,proteome
XP_015650090.1,1610,3,588,588,proteome
XP_015625495.1,1609,3,587,587,proteome
XP_015642842.1,1609,3,587,587,proteome
XP_015625835.1,1607,3,585,585,proteome
XP_015647122.1,1607,3,585,585,proteome
XP_015639328.1,1605,3,583,583,proteome
XP_025880706.1,1603,3,581,581,proteome
XP_015620787.1,1601,3,579,579,proteome
XP_015630968.1,1601,3,579,579,proteome
XP_015646825.1,1600,3,578,578,proteome
XP_015646826.1,1600,3,578,578,proteome
XP_015646827.1,1600,3,578,578,proteome
XP_015630969.1,1599,3,577,577,proteome
XP_015630970.1,1598,3,576,576,proteome
XP_025882908.1,1596,3,574,574,proteome
XP_015615309.1,1592,3,570,570,proteome
XP_015625115.1,1592,3,570,570,proteome
XP_015619951.1,1591,3,569,569,proteome
XP_015646618.1,1591,3,569,569,proteome
XP_015643572.1,1590,3,568,568,proteome
XP_025881840.1,1588,3,566,566,proteome
XP_015619246.1,1587,3,565,565,proteome
XP_015612581.1,1586,3,564,564,proteome
XP_025876633.1,1578,3,556,556,proteome
XP_015631656.1,1576,3,554,554,proteome
XP_015622733.1,1574,3,552,552,proteome
XP_015622741.1,1574,3,552,552,proteome
XP_015622757.1,1573,3,551,551,proteome
XP_015631480.1,1572,3,550,550,proteome
XP_015612988.1,1571,3,549,549,proteome
XP_015622765.1,1571,3,549,549,proteome
XP_015616421.1,1568,3,546,546,proteome
XP_015616425.1,1568,3,546,546,proteome
XP_015622774.1,1568,3,546,546,proteome
XP_025878753.1,1567,3,545,545,proteome
XP_015625836.1,1564,3,542,542,proteome
XP_015632959.1,1564,3,542,542,proteome
XP_015643573.1,1562,3,540,540,proteome
XP_015643649.1,1561,3,539,539,proteome
XP_025881568.1,1561,3,539,539,proteome
XP_015643879.1,1560,3,538,538,proteome
XP_015643880.1,1559,3,537,537,proteome
XP_025883431.1,1556,3,534,534,proteome
XP_025881016.1,1553,3,531,531,proteome
XP_015632960.1,1549,3,527,527,proteome
XP_015614229.1,1548,3,526,526,proteome
XP_025878733.1,1547,3,525,525,proteome
XP_015631657.1,1545,3,523,523,proteome
XP_015636722.1,1545,3,523,523,proteome
XP_015634895.1,1543,3,521,521,proteome
XP_015622781.1,1537,3,515,515,proteome
XP_015610677.1,1535,3,513,513,proteome
XP_015629944.1,1535,3,513,513,proteome
XP_015630618.1,1535,3,513,513,proteome
XP_015631683.1,1535,3,513,513,proteome
XP_015616525.1,1534,3,512,512,proteome
XP_015624973.1,1534,3,512,512,proteome
XP_015639719.1,1534,3,512,512,proteome
XP_015639720.1,1533,2,511,511,proteome
XP_015644837.1,1533,2,511,511,proteome
XP_015614896.1,1531,2,509,509,proteome
XP_015636105.2,1531,2,509,509,proteome
XP_015614905.1,1530,2,508,508,proteome
XP_015629946.1,1529,2,507,507,proteome
XP_015640977.1,1529,2,507,507,proteome
XP_015643066.1,1529,2,507,507,proteome
XP_015645008.1,1529,2,507,507,proteome
XP_015645009.1,1529,2,507,507,proteome
XP_025882910.1,1529,2,507,507,proteome
XP_015611347.1,1527,2,505,505,proteome
XP_015628332.1,1527,2,505,505,proteome
XP_015628333.1,1527,2,505,505,proteome
XP_025882078.1,1527,2,505,505,proteome
XP_015614230.1,1526,2,504,504,proteome
XP_015614913.1,1526,2,504,504,proteome
XP_015639139.1,1526,2,504,504,proteome
XP_015617677.1,1525,2,503,503,proteome
XP_015627338.1,1525,2,503,503,proteome
XP_015631406.1,1525,2,503,503,proteome
XP_025883091.1,1524,2,502,502,proteome
XP_015614231.1,1523,2,501,501,proteome
XP_025883092.1,1523,2,501,501,proteome
XP_015614069.1,1522,2,500,500,proteome
XP_015626733.1,1522,2,500,500,proteome
XP_015631031.2,1515,2,493,493,proteome
XP_015626058.1,1514,2,492,492,proteome
NP_039375.1,1513,2,491,491,proteome
XP_015614232.1,1513,2,491,491,proteome
XP_015636527.1,1512,2,490,490,proteome
XP_025883156.1,1512,2,490,490,proteome
XP_025876551.1,1511,2,489,489,proteome
XP_025876552.1,1511,2,489,489,proteome
XP_015625971.1,1510,2,488,488,proteome
XP_015626250.1,1508,2,486,486,proteome
XP_015613351.1,1506,2,484,484,proteome
XP_015617486.1,1505,2,483,483,proteome
XP_015630971.1,1505,2,483,483,proteome
XP_015626925.1,1504,2,482,482,proteome
XP_015630982.1,1504,2,482,482,proteome
XP_015643013.1,1504,2,482,482,proteome
XP_025877580.1,1504,2,482,482,proteome
XP_025878957.1,1504,2,482,482,proteome
XP_015611872.1,1503,2,481,481,proteome
XP_015626926.1,1502,2,480,480,proteome
XP_015631475.1,1502,2,480,480,proteome
XP_015640370.1,1500,2,478,478,proteome
XP_015644152.1,1494,2,472,472,proteome
XP_015644153.1,1494,2,472,472,proteome
XP_015644154.1,1494,2,472,472,proteome
XP_015644155.1,1494,2,472,472,proteome
XP_025878983.1,1494,2,472,472,proteome
XP_015645850.1,1492,2,470,470,proteome
XP_025882441.1,1492,2,470,470,proteome
XP_025882442.1,1492,2,470,470,proteome
XP_025878397.1,1491,2,469,469,proteome
XP_015639387.1,1490,2,468,468,proteome
XP_015644612.1,1489,2,467,467,proteome
XP_015630480.1,1487,2,465,465,proteome
XP_015639442.1,1487,2,465,465,proteome
XP_015625861.1,1486,2,464,464,proteome
XP_015639443.1,1486,2,464,464,proteome
XP_015625862.1,1485,2,463,463,proteome
XP_025879974.1,1485,2,463,463,proteome
XP_015643544.1,1483,2,461,461,proteome
XP_015644499.1,1483,2,461,461,proteome
XP_015644500.1,1483,2,461,461,proteome
XP_025876833.1,1483,2,461,461,proteome
XP_025881941.1,1483,2,461,461,proteome
XP_015630494.1,1482,2,460,460,proteome
XP_015616976.1,1480,2,458,458,proteome
XP_015619840.1,1480,2,458,458,proteome
XP_015620170.1,1480,2,458,458,proteome
XP_015644838.1,1480,2,458,458,proteome
XP_015614507.1,1478,2,456,456,proteome
XP_015614508.1,1478,2,456,456,proteome
XP_015641610.1,1478,2,456,456,proteome
XP_015641618.1,1478,2,456,456,proteome
XP_025882319.1,1478,2,456,456,proteome
XP_025882320.1,1478,2,456,456,proteome
XP_025882321.1,1478,2,456,456,proteome
XP_025882322.1,1478,2,456,456,proteome
XP_025882323.1,1478,2,456,456,proteome
XP_025882324.1,1478,2,456,456,proteome
XP_025882325.1,1478,2,456,456,proteome
XP_025882326.1,1478,2,456,456,proteome
XP_015614509.1,1476,2,454,454,proteome
XP_015639388.1,1475,2,453,453,proteome
XP_015643361.1,1475,2,453,453,proteome
XP_015644184.1,1475,2,453,453,proteome
XP_025883227.1,1475,2,453,453,proteome
XP_015637038.1,1473,2,451,451,proteome
XP_015641639.1,1473,2,451,451,proteome
XP_025882758.1,1473,2,451,451,proteome
XP_015618693.1,1472,2,450,450,proteome
XP_025880200.1,1471,2,449,449,proteome
XP_015632826.1,1470,2,448,448,proteome
XP_025882079.1,1469,2,447,447,proteome
XP_025882826.1,1468,2,446,446,proteome
XP_015611692.1,1467,2,445,445,proteome
XP_015621352.1,1467,2,445,445,proteome
XP_015627330.1,1467,2,445,445,proteome
XP_015637039.1,1467,2,445,445,proteome
XP_015611693.1,1466,2,444,444,proteome
XP_015611694.1,1466,2,444,444,proteome
XP_015637040.1,1466,2,444,444,proteome
XP_015637041.1,1466,2,444,444,proteome
XP_025883093.1,1466,2,444,444,proteome
XP_015611695.1,1465,2,443,443,proteome
XP_015637042.1,1465,2,443,443,proteome
XP_015620949.1,1464,2,442,442,proteome
XP_015638596.1,1464,2,442,442,proteome
XP_015621461.1,1463,2,441,441,proteome
XP_015625864.1,1463,2,441,441,proteome
XP_015649958.1,1463,2,441,441,proteome
XP_025882554.1,1463,2,441,441,proteome
XP_025882733.1,1463,2,441,441,proteome
XP_015627825.1,1462,2,440,440,proteome
XP_015649277.1,1462,2,440,440,proteome
XP_015643574.1,1461,2,439,439,proteome
XP_015643575.1,1461,2,439,439,proteome
XP_015643576.1,1461,2,439,439,proteome
XP_015630681.1,1459,2,437,437,proteome
XP_015637337.2,1459,2,437,437,proteome
XP_015643296.1,1459,2,437,437,proteome
XP_015643466.1,1457,2,435,435,proteome
XP_015648322.1,1457,2,435,435,proteome
XP_015617137.1,1456,2,434,434,proteome
XP_015650488.1,1456,2,434,434,proteome
XP_015631609.1,1455,2,433,433,proteome
XP_015646575.1,1454,2,432,432,proteome
XP_015648358.2,1454,2,432,432,proteome
XP_015619841.1,1453,2,431,431,proteome
XP_015622300.1,1451,2,429,429,proteome
XP_015625801.1,1450,2,428,428,proteome
XP_015648329.1,1450,2,428,428,proteome
XP_025878644.1,1450,2,428,428,proteome
