protein_id,length,n_windows,last_window_start,residues_lost_by_truncation,source
NP_190606.6,2156,4,1134,1134,proteome
NP_001324008.1,2155,4,1133,1133,proteome
NP_001324009.1,2155,4,1133,1133,proteome
NP_001078482.1,2154,4,1132,1132,proteome
NP_197072.3,2153,4,1131,1131,proteome
NP_001319240.1,2151,4,1129,1129,proteome
NP_001321273.1,2151,4,1129,1129,proteome
NP_175932.2,2151,4,1129,1129,proteome
NP_850966.1,2151,4,1129,1129,proteome
NP_850967.1,2151,4,1129,1129,proteome
NP_179803.4,2150,4,1128,1128,proteome
NP_200922.2,2146,4,1124,1124,proteome
NP_001321524.1,2141,4,1119,1119,proteome
NP_001325161.1,2141,4,1119,1119,proteome
NP_001325160.1,2139,4,1117,1117,proteome
NP_001319481.1,2138,4,1116,1116,proteome
NP_180280.2,2138,4,1116,1116,proteome
NP_187219.5,2138,4,1116,1116,proteome
NP_001185419.1,2136,4,1114,1114,proteome
NP_001319395.1,2136,4,1114,1114,proteome
NP_001322685.1,2136,4,1114,1114,proteome
NP_177870.2,2136,4,1114,1114,proteome
NP_001319755.1,2130,4,1108,1108,proteome
NP_001326116.1,2130,4,1108,1108,proteome
NP_001326117.1,2130,4,1108,1108,proteome
NP_001190085.1,2129,4,1107,1107,proteome
NP_001185436.1,2115,4,1093,1093,proteome
NP_001319022.1,2114,4,1092,1092,proteome
NP_001322767.1,2114,4,1092,1092,proteome
NP_175078.1,2114,4,1092,1092,proteome
NP_001185435.1,2094,4,1072,1072,proteome
NP_178048.2,2093,4,1071,1071,proteome
NP_189519.1,2081,4,1059,1059,proteome
NP_001326049.1,2075,4,1053,1053,proteome
NP_001326050.1,2074,4,1052,1052,proteome
NP_188362.2,2066,4,1044,1044,proteome
NP_001327907.1,2061,4,1039,1039,proteome
NP_187887.3,2055,4,1033,1033,proteome
NP_001322597.1,2052,4,1030,1030,proteome
NP_001322600.1,2052,4,1030,1030,proteome
NP_001326839.1,2051,4,1029,1029,proteome
NP_001322601.1,2049,4,1027,1027,proteome
NP_001322602.1,2049,4,1027,1027,proteome
NP_001322598.1,2046,4,1024,1024,proteome
NP_190996.3,2045,4,1023,1023,proteome
NP_001322596.1,2043,3,1021,1021,proteome
NP_001322599.1,2043,3,1021,1021,proteome
NP_001329269.1,2037,3,1015,1015,proteome
NP_193464.5,2037,3,1015,1015,proteome
NP_175359.2,2028,3,1006,1006,proteome
NP_193595.3,2028,3,1006,1006,proteome
NP_850960.1,2028,3,1006,1006,proteome
NP_001323160.1,2021,3,999,999,proteome
NP_001323161.1,2021,3,999,999,proteome
NP_001328469.1,2018,3,996,996,proteome
NP_001321523.1,2011,3,989,989,proteome
NP_194744.2,2009,3,987,987,proteome
NP_001328467.1,2008,3,986,986,proteome
NP_001318457.1,2006,3,984,984,proteome
NP_195851.2,2006,3,984,984,proteome
NP_001322007.1,2002,3,980,980,proteome
NP_001329268.1,2002,3,980,980,proteome
NP_001185237.1,2001,3,979,979,proteome
NP_563806.1,2001,3,979,979,proteome
NP_849608.1,2001,3,979,979,proteome
NP_001323297.1,1999,3,977,977,proteome
NP_173625.1,1999,3,977,977,proteome
NP_001325702.1,1992,3,970,970,proteome
NP_001328466.1,1989,3,967,967,proteome
NP_001078527.1,1987,3,965,965,proteome
NP_565811.2,1978,3,956,956,proteome
NP_181532.2,1976,3,954,954,proteome
NP_188075.2,1976,3,954,954,proteome
NP_001329710.1,1969,3,947,947,proteome
NP_195587.5,1965,3,943,943,proteome
NP_001327597.1,1964,3,942,942,proteome
NP_001326811.1,1960,3,938,938,proteome
NP_172136.2,1958,3,936,936,proteome
NP_189132.2,1957,3,935,935,proteome
NP_196804.6,1955,3,933,933,proteome
NP_188130.1,1954,3,932,932,proteome
NP_001189653.1,1950,3,928,928,proteome
NP_001189893.1,1950,3,928,928,proteome
NP_001318331.1,1950,3,928,928,proteome
NP_001322482.1,1950,3,928,928,proteome
NP_001322483.1,1950,3,928,928,proteome
NP_001323731.1,1950,3,928,928,proteome
NP_563743.2,1950,3,928,928,proteome
NP_850178.2,1950,3,928,928,proteome
NP_001321288.1,1948,3,926,926,proteome
NP_001321289.1,1948,3,926,926,proteome
NP_001327908.1,1948,3,926,926,proteome
NP_191651.3,1941,3,919,919,proteome
NP_001322002.1,1933,3,911,911,proteome
NP_001331954.1,1924,3,902,902,proteome
NP_198864.2,1923,3,901,901,proteome
NP_849953.2,1923,3,901,901,proteome
NP_191469.3,1921,3,899,899,proteome
NP_849809.2,1921,3,899,899,proteome
NP_001326789.1,1920,3,898,898,proteome
NP_174552.1,1919,3,897,897,proteome
NP_001319333.1,1915,3,893,893,proteome
NP_001320392.1,1915,3,893,893,proteome
NP_001154712.2,1914,3,892,892,proteome
NP_567189.6,1913,3,891,891,proteome
NP_001184881.1,1910,3,888,888,proteome
NP_001184913.1,1909,3,887,887,proteome
NP_001323730.1,1909,3,887,887,proteome
NP_001325431.1,1909,3,887,887,proteome
NP_001325432.1,1909,3,887,887,proteome
NP_171612.1,1909,3,887,887,proteome
NP_189131.5,1907,3,885,885,proteome
NP_001322788.1,1906,3,884,884,proteome
NP_001322789.1,1906,3,884,884,proteome
NP_001326449.1,1905,3,883,883,proteome
NP_850271.5,1904,3,882,882,proteome
NP_001189965.1,1899,3,877,877,proteome
NP_001319711.1,1899,3,877,877,proteome
NP_190446.1,1899,3,877,877,proteome
NP_001328468.1,1896,3,874,874,proteome
NP_187803.4,1896,3,874,874,proteome
NP_001118968.1,1895,3,873,873,proteome
NP_001326712.1,1892,3,870,870,proteome
NP_001326713.1,1892,3,870,870,proteome
NP_001327751.1,1892,3,870,870,proteome
NP_001327752.1,1892,3,870,870,proteome
NP_001320391.1,1890,3,868,868,proteome
NP_176917.2,1890,3,868,868,proteome
NP_187372.5,1890,3,868,868,proteome
NP_001320390.1,1889,3,867,867,proteome
NP_001320393.1,1889,3,867,867,proteome
NP_001324746.1,1888,3,866,866,proteome
NP_001329354.1,1888,3,866,866,proteome
NP_849567.2,1888,3,866,866,proteome
NP_001329652.1,1887,3,865,865,proteome
NP_001189503.1,1883,3,861,861,proteome
NP_194845.4,1883,3,861,861,proteome
NP_850354.2,1882,3,860,860,proteome
NP_001154222.1,1879,3,857,857,proteome
NP_200649.1,1873,3,851,851,proteome
NP_001154282.2,1872,3,850,850,proteome
NP_001329658.1,1871,3,849,849,proteome
NP_177804.1,1871,3,849,849,proteome
NP_198503.3,1871,3,849,849,proteome
NP_001329980.1,1870,3,848,848,proteome
NP_001325149.1,1868,3,846,846,proteome
NP_001329979.1,1863,3,841,841,proteome
NP_001329981.1,1863,3,841,841,proteome
NP_001332447.1,1863,3,841,841,proteome
NP_195008.6,1863,3,841,841,proteome
NP_001331639.1,1860,3,838,838,proteome
NP_001332446.1,1857,3,835,835,proteome
NP_001031526.1,1846,3,824,824,proteome
NP_197058.2,1846,3,824,824,proteome
NP_001185022.1,1844,3,822,822,proteome
NP_001190317.1,1844,3,822,822,proteome
NP_189404.2,1841,3,819,819,proteome
NP_001318776.1,1839,3,817,817,proteome
NP_001329346.1,1839,3,817,817,proteome
NP_188550.3,1839,3,817,817,proteome
NP_195305.2,1839,3,817,817,proteome
NP_001319958.1,1830,3,808,808,proteome
NP_001328748.1,1830,3,808,808,proteome
NP_193367.7,1830,3,808,808,proteome
NP_001319976.1,1828,3,806,806,proteome
NP_200393.1,1826,3,804,804,proteome
NP_850086.2,1826,3,804,804,proteome
NP_001185086.1,1823,3,801,801,proteome
NP_001329532.1,1821,3,799,799,proteome
NP_001329531.1,1820,3,798,798,proteome
NP_001329653.1,1820,3,798,798,proteome
NP_001117499.2,1819,3,797,797,proteome
NP_194537.7,1819,3,797,797,proteome
NP_564694.2,1816,3,794,794,proteome
NP_001323492.1,1812,3,790,790,proteome
NP_001319538.1,1811,3,789,789,proteome
NP_001331419.1,1807,3,785,785,proteome
NP_173855.5,1807,3,785,785,proteome
NP_001185058.1,1805,3,783,783,proteome
NP_001321782.1,1805,3,783,783,proteome
NP_177854.6,1805,3,783,783,proteome
NP_001321783.1,1804,3,782,782,proteome
NP_001321784.1,1804,3,782,782,proteome
NP_001321785.1,1804,3,782,782,proteome
NP_173871.6,1804,3,782,782,proteome
NP_001320338.1,1800,3,778,778,proteome
NP_001329657.1,1798,3,776,776,proteome
NP_192939.2,1798,3,776,776,proteome
NP_001318189.1,1797,3,775,775,proteome
NP_001324740.1,1797,3,775,775,proteome
NP_001324741.1,1797,3,775,775,proteome
NP_001324742.1,1797,3,775,775,proteome
NP_001324744.1,1797,3,775,775,proteome
NP_001324745.1,1797,3,775,775,proteome
NP_001324748.1,1797,3,775,775,proteome
NP_171639.3,1797,3,775,775,proteome
NP_178413.2,1797,3,775,775,proteome
NP_001331525.1,1795,3,773,773,proteome
NP_195572.2,1794,3,772,772,proteome
NP_191645.1,1793,3,771,771,proteome
NP_001327580.1,1792,3,770,770,proteome
NP_001319548.1,1791,3,769,769,proteome
NP_188044.1,1791,3,769,769,proteome
NP_001329655.1,1790,3,768,768,proteome
NP_001321495.1,1789,3,767,767,proteome
NP_001184884.1,1787,3,765,765,proteome
NP_567206.1,1787,3,765,765,proteome
NP_051117.1,1786,3,764,764,proteome
NP_188534.2,1786,3,764,764,proteome
NP_001321786.1,1785,3,763,763,proteome
NP_192264.1,1780,3,758,758,proteome
NP_001323985.1,1775,3,753,753,proteome
NP_196599.2,1775,3,753,753,proteome
NP_179241.4,1773,3,751,751,proteome
NP_180882.2,1770,3,748,748,proteome
NP_001324210.1,1769,3,747,747,proteome
NP_001331532.1,1769,3,747,747,proteome
NP_001324697.1,1768,3,746,746,proteome
NP_001329654.1,1768,3,746,746,proteome
NP_001329656.1,1768,3,746,746,proteome
NP_567278.1,1768,3,746,746,proteome
NP_001331528.1,1765,3,743,743,proteome
NP_001324211.1,1764,3,742,742,proteome
NP_001331531.1,1763,3,741,741,proteome
NP_001324854.1,1758,3,736,736,proteome
NP_189916.4,1758,3,736,736,proteome
NP_001320122.1,1757,3,735,735,proteome
NP_001324208.1,1757,3,735,735,proteome
NP_001328751.1,1757,3,735,735,proteome
NP_195050.6,1757,3,735,735,proteome
NP_001078484.4,1756,3,734,734,proteome
NP_001328750.1,1754,3,732,732,proteome
NP_001190899.1,1753,3,731,731,proteome
NP_173188.5,1753,3,731,731,proteome
NP_001329982.1,1752,3,730,730,proteome
NP_171698.1,1750,3,728,728,proteome
NP_001324209.1,1749,3,727,727,proteome
NP_001324214.1,1749,3,727,727,proteome
NP_001324212.1,1746,3,724,724,proteome
NP_193687.3,1744,3,722,722,proteome
NP_001185433.1,1741,3,719,719,proteome
NP_001327198.1,1739,3,717,717,proteome
NP_001331529.1,1737,3,715,715,proteome
NP_001322258.1,1733,3,711,711,proteome
NP_001322259.1,1733,3,711,711,proteome
NP_001331530.1,1733,3,711,711,proteome
NP_171807.2,1733,3,711,711,proteome
NP_001185085.1,1732,3,710,710,proteome
NP_001331524.1,1732,3,710,710,proteome
NP_171954.1,1730,3,708,708,proteome
NP_001331593.1,1729,3,707,707,proteome
NP_196076.2,1729,3,707,707,proteome
NP_001319620.1,1728,3,706,706,proteome
NP_001326409.1,1728,3,706,706,proteome
NP_188918.2,1728,3,706,706,proteome
NP_001078319.1,1727,3,705,705,proteome
NP_001190006.1,1727,3,705,705,proteome
NP_001078318.1,1725,3,703,703,proteome
NP_001325086.1,1724,3,702,702,proteome
NP_001325087.1,1724,3,702,702,proteome
NP_178970.3,1724,3,702,702,proteome
NP_001078317.1,1723,3,701,701,proteome
NP_001328749.1,1717,3,695,695,proteome
NP_181219.4,1716,3,694,694,proteome
NP_001321781.1,1715,3,693,693,proteome
NP_177055.2,1715,3,693,693,proteome
NP_199109.1,1714,3,692,692,proteome
NP_001318485.1,1711,3,689,689,proteome
NP_001329577.1,1710,3,688,688,proteome
NP_001329578.1,1710,3,688,688,proteome
NP_001329579.1,1710,3,688,688,proteome
NP_193212.4,1710,3,688,688,proteome
NP_181015.7,1708,3,686,686,proteome
NP_001331533.1,1706,3,684,684,proteome
NP_173115.1,1706,3,684,684,proteome
NP_195264.2,1706,3,684,684,proteome
NP_174164.2,1705,3,683,683,proteome
NP_187724.2,1705,3,683,683,proteome
NP_001325040.1,1703,3,681,681,proteome
NP_187125.1,1703,3,681,681,proteome
NP_187466.4,1703,3,681,681,proteome
NP_001331526.1,1702,3,680,680,proteome
NP_001331527.1,1702,3,680,680,proteome
NP_197532.3,1702,3,680,680,proteome
NP_187280.3,1697,3,675,675,proteome
NP_565197.3,1697,3,675,675,proteome
NP_001322603.1,1696,3,674,674,proteome
NP_001318738.1,1694,3,672,672,proteome
NP_199231.1,1694,3,672,672,proteome
NP_001190348.1,1688,3,666,666,proteome
NP_195533.2,1687,3,665,665,proteome
NP_001331227.1,1683,3,661,661,proteome
NP_001321736.1,1680,3,658,658,proteome
NP_001321737.1,1680,3,658,658,proteome
NP_001321740.1,1680,3,658,658,proteome
NP_001321741.1,1680,3,658,658,proteome
NP_001331420.1,1680,3,658,658,proteome
NP_001327777.1,1679,3,657,657,proteome
NP_001318674.1,1678,3,656,656,proteome
NP_001185015.1,1677,3,655,655,proteome
NP_001318768.1,1677,3,655,655,proteome
NP_199754.2,1677,3,655,655,proteome
NP_001324607.1,1674,3,652,652,proteome
NP_001322202.1,1673,3,651,651,proteome
NP_180104.3,1673,3,651,651,proteome
NP_187904.1,1670,3,648,648,proteome
NP_191325.1,1670,3,648,648,proteome
NP_001329580.1,1667,3,645,645,proteome
NP_001329581.1,1667,3,645,645,proteome
NP_001318395.1,1664,3,642,642,proteome
NP_001325178.1,1664,3,642,642,proteome
NP_181609.4,1664,3,642,642,proteome
NP_001190414.1,1658,3,636,636,proteome
NP_001325828.1,1657,3,635,635,proteome
NP_001327905.1,1656,3,634,634,proteome
NP_190793.2,1656,3,634,634,proteome
NP_001323059.1,1651,3,629,629,proteome
NP_196391.2,1649,3,627,627,proteome
NP_177257.3,1648,3,626,626,proteome
NP_850763.1,1648,3,626,626,proteome
NP_001321759.1,1647,3,625,625,proteome
NP_176723.3,1647,3,625,625,proteome
NP_001190138.1,1646,3,624,624,proteome
NP_001077775.1,1642,3,620,620,proteome
NP_001321738.1,1641,3,619,619,proteome
NP_001321739.1,1641,3,619,619,proteome
NP_001321742.1,1641,3,619,619,proteome
NP_974804.4,1639,3,617,617,proteome
NP_001332568.1,1632,3,610,610,proteome
NP_191536.2,1630,3,608,608,proteome
NP_198149.2,1630,3,608,608,proteome
NP_001320389.1,1629,3,607,607,proteome
NP_181655.1,1629,3,607,607,proteome
NP_001319957.1,1628,3,606,606,proteome
NP_001328664.1,1628,3,606,606,proteome
NP_001328665.1,1628,3,606,606,proteome
NP_001328666.1,1628,3,606,606,proteome
NP_193364.5,1628,3,606,606,proteome
NP_001331228.1,1627,3,605,605,proteome
NP_196857.2,1625,3,603,603,proteome
NP_001190303.1,1624,3,602,602,proteome
NP_001326589.1,1624,3,602,602,proteome
NP_001189675.1,1623,3,601,601,proteome
NP_181013.1,1623,3,601,601,proteome
NP_001031116.1,1622,3,600,600,proteome
NP_174329.1,1622,3,600,600,proteome
NP_568134.1,1622,3,600,600,proteome
NP_001332567.1,1620,3,598,598,proteome
NP_001321780.1,1616,3,594,594,proteome
NP_001332566.1,1615,3,593,593,proteome
NP_173737.1,1615,3,593,593,proteome
NP_001185370.1,1614,3,592,592,proteome
NP_190628.6,1614,3,592,592,proteome
NP_177278.3,1613,3,591,591,proteome
NP_190388.2,1613,3,591,591,proteome
NP_197291.2,1613,3,591,591,proteome
NP_850669.2,1613,3,591,591,proteome
NP_001327753.1,1612,3,590,590,proteome
NP_001327754.1,1611,3,589,589,proteome
NP_190389.1,1611,3,589,589,proteome
NP_172981.3,1608,3,586,586,proteome
NP_001118788.1,1607,3,585,585,proteome
NP_001119390.1,1607,3,585,585,proteome
NP_195337.1,1607,3,585,585,proteome
NP_001119389.1,1606,3,584,584,proteome
NP_001326234.1,1606,3,584,584,proteome
NP_190374.4,1606,3,584,584,proteome
NP_199580.3,1605,3,583,583,proteome
NP_568273.2,1602,3,580,580,proteome
NP_197816.3,1598,3,576,576,proteome
NP_001322591.1,1596,3,574,574,proteome
NP_200042.4,1594,3,572,572,proteome
NP_001185071.1,1592,3,570,570,proteome
NP_001324606.1,1592,3,570,570,proteome
NP_001326496.1,1589,3,567,567,proteome
NP_001330520.1,1586,3,564,564,proteome
NP_198994.2,1586,3,564,564,proteome
NP_001154662.2,1580,3,558,558,proteome
NP_181490.5,1577,3,555,555,proteome
NP_172152.1,1576,3,554,554,proteome
NP_001154663.2,1570,3,548,548,proteome
NP_001325812.1,1569,3,547,547,proteome
NP_001319705.1,1568,3,546,546,proteome
NP_190372.3,1568,3,546,546,proteome
NP_001330245.1,1566,3,544,544,proteome
NP_001330246.1,1566,3,544,544,proteome
NP_197668.2,1566,3,544,544,proteome
NP_001190465.1,1565,3,543,543,proteome
NP_001329262.1,1565,3,543,543,proteome
NP_001190466.1,1562,3,540,540,proteome
NP_001323600.1,1557,3,535,535,proteome
NP_001318329.1,1556,3,534,534,proteome
NP_174038.1,1556,3,534,534,proteome
NP_180749.2,1556,3,534,534,proteome
NP_001118676.1,1555,3,533,533,proteome
NP_001329582.1,1554,3,532,532,proteome
NP_001326717.1,1551,3,529,529,proteome
NP_566705.1,1550,3,528,528,proteome
NP_001321998.1,1548,3,526,526,proteome
NP_001190725.1,1545,3,523,523,proteome
NP_001154281.1,1540,3,518,518,proteome
NP_001190117.1,1540,3,518,518,proteome
NP_001329583.1,1540,3,518,518,proteome
NP_191829.1,1539,3,517,517,proteome
NP_194988.2,1539,3,517,517,proteome
NP_198371.3,1539,3,517,517,proteome
NP_172349.2,1538,3,516,516,proteome
NP_191200.1,1535,3,513,513,proteome
NP_199727.1,1534,3,512,512,proteome
NP_001324743.1,1533,2,511,511,proteome
NP_177800.1,1532,2,510,510,proteome
NP_001318612.1,1531,2,509,509,proteome
NP_189978.1,1531,2,509,509,proteome
NP_001318611.1,1530,2,508,508,proteome
NP_001321098.1,1530,2,508,508,proteome
NP_001324313.1,1530,2,508,508,proteome
NP_175858.1,1529,2,507,507,proteome
NP_001190254.1,1526,2,504,504,proteome
NP_001190255.1,1526,2,504,504,proteome
NP_001320715.1,1526,2,504,504,proteome
NP_196411.1,1526,2,504,504,proteome
NP_001331725.1,1524,2,502,502,proteome
NP_201511.2,1524,2,502,502,proteome
NP_001328260.1,1523,2,501,501,proteome
NP_195046.3,1522,2,500,500,proteome
NP_173201.2,1520,2,498,498,proteome
NP_850474.3,1520,2,498,498,proteome
NP_001189770.1,1519,2,497,497,proteome
NP_001319931.1,1519,2,497,497,proteome
NP_193150.1,1519,2,497,497,proteome
NP_182301.1,1516,2,494,494,proteome
NP_194600.2,1516,2,494,494,proteome
NP_171908.1,1514,2,492,492,proteome
NP_187915.1,1514,2,492,492,proteome
NP_001324747.1,1512,2,490,490,proteome
NP_192638.1,1512,2,490,490,proteome
NP_001327928.1,1510,2,488,488,proteome
NP_001331466.1,1510,2,488,488,proteome
NP_001184906.1,1509,2,487,487,proteome
NP_850297.1,1509,2,487,487,proteome
NP_001325748.1,1508,2,486,486,proteome
NP_001190470.1,1507,2,485,485,proteome
NP_001319776.1,1507,2,485,485,proteome
NP_191289.2,1507,2,485,485,proteome
NP_191575.2,1506,2,484,484,proteome
NP_001325811.1,1505,2,483,483,proteome
NP_199203.1,1505,2,483,483,proteome
NP_001185129.1,1504,2,482,482,proteome
NP_196374.1,1504,2,482,482,proteome
NP_001190897.1,1503,2,481,481,proteome
NP_001319848.1,1503,2,481,481,proteome
NP_001328635.1,1503,2,481,481,proteome
NP_001328636.1,1503,2,481,481,proteome
NP_567242.2,1503,2,481,481,proteome
NP_195908.1,1502,2,480,480,proteome
NP_001077836.1,1501,2,479,479,proteome
NP_001331534.1,1501,2,479,479,proteome
NP_196415.1,1501,2,479,479,proteome
NP_001319133.1,1500,2,478,478,proteome
NP_171912.2,1500,2,478,478,proteome
NP_001319111.1,1498,2,476,476,proteome
NP_001319112.1,1495,2,473,473,proteome
NP_001323123.1,1495,2,473,473,proteome
NP_001323124.1,1495,2,473,473,proteome
NP_001323126.1,1495,2,473,473,proteome
NP_173840.4,1495,2,473,473,proteome
NP_194667.1,1494,2,472,472,proteome
NP_179619.2,1493,2,471,471,proteome
