Entry	RefSeq
Q8VZG8	NP_192625.4 [Q8VZG8-2];NP_849538.2 [Q8VZG8-1];
Q8W4S5	NP_001330851.1;NP_001330852.1;
Q93ZS4	NP_176279.1;
Q94AG2	NP_177328.1;
Q94F62	NP_567920.1 [Q94F62-1];
Q9ASS4	
Q9C7S5	NP_177374.1;
Q9C7T7	NP_177363.1;
Q9C8I6	NP_175591.1;
Q9C8M9	NP_175777.1 [Q9C8M9-1];
Q9FGL5	NP_199777.1;
Q9FII5	NP_200956.1;
Q9FIZ3	NP_199283.1 [Q9FIZ3-1];
Q9FK63	NP_001332015.1 [Q9FK63-2];NP_199392.1 [Q9FK63-1];
Q9FL28	NP_001330009.1;NP_199445.1;
Q9FMD7	
Q9FN37	NP_200200.1;
Q9FN94	NP_200775.2;
Q9FRS6	NP_172335.1;
Q9FXF2	NP_174268.7 [Q9FXF2-1];NP_850955.5 [Q9FXF2-2];
Q9FYK0	NP_173869.1;
Q9FZ59	NP_173217.1;
Q9LHP4	NP_189066.1;
Q9LIG2	NP_188771.2;
Q9LJF3	NP_187946.1;
Q9LJM4	NP_188604.1;
Q9LJY0	NP_188654.2;
Q9LK43	NP_189017.1;
Q9LP24	
Q9LP77	NP_564528.1;
Q9LPT1	NP_175476.2;
Q9LSI9	NP_189486.1;
Q9LT96	
Q9LUL4	NP_188052.2 [Q9LUL4-1];
Q9LVI6	NP_566589.1;
Q9LY03	NP_191196.1;
Q9LYN8	NP_196345.1;
Q9LZV7	NP_195809.1;
Q9M0G7	NP_194594.1;
Q9M1L7	NP_189874.1;
Q9M2Z1	NP_190536.1;
Q9M8T0	
Q9M9C5	
Q9M9S4	
Q9S7I6	NP_186862.3;
Q9SH71	
Q9SHI2	NP_001322898.1;
Q9SIT1	NP_178291.1;
Q9SKB2	NP_180747.1;
Q9SKG5	NP_178999.2;
Q9SSL9	NP_177451.1;
Q9SYQ8	NP_177710.1;
Q9XIC7	NP_001320467.1;NP_174683.1;
Q9ZPS9	NP_178304.1;
Q9ZQR3	
Q9ZRF9	NP_177087.1;
Q9ZU46	NP_178230.1;
Q9ZVR7	NP_178330.1;
Q9ZWC8	NP_001117501.1;NP_175957.1;
A0A1I9LQ53	NP_001326721.1;
A0A1I9LRQ5	NP_001327243.1;
C0LGD6	
C0LGD7	
C0LGD8	NP_172235.2;
C0LGD9	
C0LGE4	
C0LGG3	NP_175594.2;
C0LGG4	
C0LGG7	NP_175747.2 [C0LGG7-1];
C0LGG9	
C0LGH2	
C0LGI2	
C0LGK4	NP_179220.2;
C0LGK9	
C0LGP4	NP_566892.1;
C0LGQ7	NP_193778.2;
C0LGU1	NP_198561.1;
C0LGV0	NP_199685.2;
C0LGX1	NP_201327.4 [C0LGX1-1];
F4I065	
O22938	NP_181713.1;
O64556	NP_179513.4;
O65924	
P33543	NP_189109.1;
Q0WR59	
Q6R2J8	NP_193944.2 [Q6R2J8-1];
Q6R2K2	NP_566444.4;
Q8GY50	NP_178080.2;
Q94C77	
Q9ASQ6	NP_564335.3 [Q9ASQ6-1];
Q9C9Y8	NP_187480.1;NP_974257.1;
Q9FG24	NP_196300.1;
Q9FHK7	NP_196135.1;
Q9FL63	
Q9FN93	
Q9FZB8	
Q9LFG1	
Q9LRT1	NP_189443.2;
Q9LVM0	
Q9LVP0	
Q9SCT4	NP_190742.1;
Q9SGP2	NP_174166.1;
Q9SJQ1	NP_181196.1;
Q9SNA3	NP_190218.1;
Q9SUQ3	
Q9ZQQ7	
A0A178V4I7	NP_001328257.1;
A0A178WLG7	
A0A1P8ASI5	
A0A1P8AVQ6	NP_001323008.1;
A0A1P8AZF0	NP_001324219.1;NP_001324220.1;
A0A1P8B036	
A0A1P8BAT4	
C0LGI8	
C0LGJ7	
C0LGJ8	
C0LGP3	
C0LGV8	
F4I3K4	NP_001185247.1;
F4I9D5	NP_001320669.1;NP_174427.3;
F4IB69	NP_175597.1;
F4JA15	NP_001189971.1;
F4JA17	NP_974360.1;
F4JIX9	NP_001190904.1;
F4JMW3	NP_194647.2;
F4K6F3	NP_001190595.1;
O22178	NP_179911.1;
O48788	
O49318	
O64794	NP_176918.1;
Q84MA9	NP_176262.2;
Q8GX94	NP_201077.2;
Q93Y06	
Q9C9E4	NP_177390.1;
Q9C9N5	
Q9FK10	
Q9FL51	
Q9FRI1	NP_564228.1;
Q9FZB1	NP_001319201.1;
Q9LVN2	
Q9M0D8	NP_194674.1;
Q9SD62	NP_190295.1;
Q9SD64	NP_190293.1;
Q9SI06	NP_178510.1;
Q9SN80	NP_190342.1;
Q9SN97	NP_190226.1;
Q9ZUI0	
A0A178US29	NP_001330239.1;
A0A178W313	
A0A178W4K9	
A0A178W553	NP_001322341.1;
A0A1I9LL69	NP_001325421.1;
A0A1I9LN97	NP_001326106.1;
A0A1P8ANE5	NP_001320621.1;
A0A1P8ANH9	
A0A1P8ANP7	NP_001320719.1;
A0A1P8APW9	
A0A1P8AQ00	NP_001321144.1;
A0A1P8AQ09	
A0A1P8AQ28	NP_175600.3;
A0A1P8AQG2	
A0A1P8AQZ6	
A0A1P8ARR6	NP_001321706.1;
A0A1P8ARS9	NP_001321705.1;
A0A1P8ASB5	NP_001321901.1;
A0A1P8ASB9	NP_001321899.1;
A0A1P8ASH0	NP_001321900.1;
A0A1P8ASI7	
A0A1P8ATN8	NP_001322311.1;
A0A1P8AUL0	
A0A1P8AUL5	
A0A1P8AUP1	
A0A1P8AUY6	
A0A1P8AV24	
A0A1P8AWS5	NP_001323323.1;
A0A1P8AX40	
A0A1P8AX69	
A0A1P8AX88	
A0A1P8B0M4	NP_001324598.1;
A0A1P8B0Z5	
A0A1P8B246	NP_001325096.1;
A0A1P8B2S5	
A0A1P8B3R2	
A0A1P8B7D5	
A0A1P8BA72	NP_001330240.1;
A0A1P8BAD8	NP_200773.1;
A0A1P8BAS1	
A0A1P8BAT2	
A0A1P8BAU6	
A0A1P8BBQ5	
A0A1P8BC30	NP_001330851.1;NP_001330852.1;
A0A1P8BC39	NP_001330850.1;
A0A1P8BCD1	NP_001330949.1;
A0A1P8BE60	NP_001331523.1;
A0A1P8BEN9	NP_001331675.1;
A0A1P8BH07	NP_001332468.1;
A0A1P8BHA1	NP_001332550.1;
A0A1R7T3G2	
A0A1R7T3G3	
A0A1R7T3H0	
A0A1R7T3H1	
A0A2H1ZE13	
A0A2H1ZE36	
A0A2H1ZED2	
A0A2H1ZEE2	
A0MFA7	
A8MQH3	NP_001077716.1;
B5X571	
B5X583	
B9DFY2	
C0LGE3	
C0LGH0	
C0LGH4	NP_564710.1;
C0LGJ2	
C0LGK5	
C0LGK6	
C0LGL2	NP_180241.1;
C0LGM6	NP_186938.1;
C0LGM8	NP_187480.1;NP_974257.1;
C0LGN3	
C0LGN7	
C0LGQ2	
C0LGR2	NP_001328543.1;NP_194105.1;
C0LGS1	NP_567961.1;
C0LGS7	
C0LGT0	NP_196564.1;
C0LGU8	
C0LGW1	NP_001119458.1;NP_001318827.1;NP_200638.1;
F4HRH4	NP_001117479.1;
F4HSE1	
F4I336	
F4I337	NP_174267.4;
F4I3K0	NP_176008.4;
F4IB60	
F4IB62	NP_001185200.1;
F4IB63	NP_175592.2;
F4IB76	NP_175603.2;
F4IF76	NP_178080.2;
F4IVP3	
F4J927	NP_190224.2;
F4JFU5	NP_974312.1;
F4JFU7	NP_974311.1;
F4K685	NP_199789.5;
F4KAX4	NP_195815.3;
F4KEN7	NP_001318747.1;
F4KGL1	NP_001190618.1;
H2AKT6	
H2AKT7	
H2AKT8	
H2AKU1	
H2AKU3	
H2AKU5	
H2AKU6	
H2AKU7	
H2AKU8	
H2AKU9	
H2AKV0	
H2AKV1	
H2AKV2	
H2AKV3	
H2AKV4	
H2AKV5	
H2AKV6	
H2AKW1	
H2AKW2	
H2AKW8	
O22138	NP_182059.1;
O49654	NP_194004.1;
O81067	
Q0WPE8	
Q0WVG0	
Q39143	
Q56YC3	
Q56YS9	
Q940B9	NP_001077512.4;
Q9FGN6	NP_199948.1;
Q9FGQ5	NP_201529.1;
Q9FLL2	NP_198934.1;
Q9FMI2	NP_199116.1;
Q9FZB6	NP_175595.2;
Q9LQ11	NP_176483.1;
Q9LR04	NP_177694.1;
Q9M2R4	NP_001326829.1;NP_191342.1;
Q9SHU6	
Q9SNA0	NP_001319694.1;NP_190221.1;
Q9SNE4	NP_190592.1;
Q9SZV2	
Q9XGZ2	NP_197965.1;
Q9ZVD4	
A0A1I9LQG7	NP_001326830.1;
A0A1P8APZ0	
A0A1P8AV20	
A0A1P8AXQ0	
A0A1P8B4A0	
A0A1P8BEK6	NP_001331676.1;
A0A1P8BG86	NP_001332195.1;
B3H541	NP_001119030.1;
B3LFA9	NP_200144.1;
B5X568	
C0LGE9	NP_174039.1;
C0LGF7	NP_174702.1;
C0LGH7	NP_176483.1;
C0LGI1	NP_176918.1;
C0LGI9	NP_177390.1;
C0LGJ3	
C0LGK7	NP_179911.1;
C0LGL5	
C0LGM3	NP_181758.1;
C0LGM4	NP_182059.1;
C0LGP7	NP_190592.1;
C0LGQ1	NP_001326829.1;NP_191342.1;
C0LGQ8	NP_193811.1;
C0LGR0	
C0LGT2	NP_196925.2;
C0LGT4	NP_197162.1;
C0LGU2	NP_198934.1;
C0LGU3	NP_199116.1;
C0LGV5	NP_199948.1;
E0Y416	
E0Y417	
E0Y431	
F4I233	
F4I3K3	NP_564710.1;
F4I5Y9	NP_001077512.4;
F4IJP7	NP_180466.2;
F4JY98	NP_197965.1;
F4K5H7	NP_196925.2;
F4K6K5	
F4K7S3	NP_201077.2;
F4KAP3	NP_568971.1;
F4KJ91	NP_200774.2;
O64486	
Q0WUJ3	NP_201529.1;
Q0WVE3	NP_177694.1;
Q1PE38	NP_194674.1;
Q56ZA8	
Q67XF3	NP_194004.1;
Q67ZT9	
Q6NQI4	NP_564228.1;
Q7DXZ7	NP_190342.1;
Q7EDC8	
Q84JF8	NP_568971.1;
Q8GWU6	
Q8GYR5	
Q8LBQ5	
Q8RWP2	
Q940M7	
Q9LNK3	NP_174702.1;
Q9SLD0	NP_181758.1;
Q9SVG8	NP_193811.1;
