protein_id,ESM2,blastp_default,blastp_filteroff,psiblast_default,psiblast_filteroff,interpro_domain,esm_only_vs_panel
NP_001078035.1,False,False,False,False,False,False,False
NP_001078056.1,False,False,False,False,False,False,False
NP_001078069.1,False,False,False,False,False,False,False
NP_001078116.1,False,False,False,False,False,False,False
NP_001078154.1,False,False,False,False,False,False,False
NP_001078155.1,False,False,False,False,False,False,False
NP_001078174.1,False,False,False,False,False,False,False
NP_001078200.1,False,False,False,False,False,False,False
NP_001078237.1,True,True,True,True,True,True,False
NP_001078314.1,False,False,False,False,False,False,False
NP_001078324.1,False,False,False,False,False,False,False
NP_001078346.1,False,False,False,False,False,False,False
NP_001078351.1,True,True,True,True,True,False,False
NP_001078377.1,False,False,False,False,False,False,False
NP_001078406.1,False,False,False,False,False,False,False
NP_001078413.1,True,True,True,True,True,False,False
NP_001078435.1,False,True,True,True,True,False,False
NP_001078439.1,False,False,False,False,False,False,False
NP_001078440.1,False,False,False,False,False,False,False
NP_001078441.1,False,False,False,False,False,False,False
NP_001078466.1,False,False,False,False,False,False,False
NP_001078506.1,False,False,False,False,False,False,False
NP_001078539.1,False,False,False,False,False,False,False
NP_001078550.1,False,False,False,False,False,False,False
NP_001078561.1,False,False,False,False,False,False,False
NP_001078571.1,False,False,False,False,False,False,False
NP_001078575.1,False,False,False,False,False,False,False
NP_001078585.1,False,True,True,True,True,False,False
NP_001078595.1,False,False,False,False,False,False,False
NP_001078596.1,False,False,False,False,False,False,False
NP_001078705.1,False,False,False,False,False,False,False
NP_001078710.1,False,False,False,False,False,False,False
NP_001078711.1,False,False,False,False,False,False,False
NP_001078712.1,False,False,False,False,False,False,False
NP_001078715.1,True,True,True,True,True,True,False
NP_001078717.1,False,False,False,False,False,False,False
NP_001078748.1,False,False,False,False,False,False,False
NP_001078749.1,False,False,False,False,False,False,False
NP_001078806.1,False,True,True,True,True,False,False
NP_001117207.1,False,False,False,False,False,False,False
NP_001117208.1,False,False,False,False,False,False,False
NP_001117218.1,False,False,False,False,False,False,False
NP_001117266.1,True,True,True,True,True,True,False
NP_001117268.1,False,False,False,False,False,False,False
NP_001117399.1,False,True,True,False,True,False,False
NP_001117406.1,False,False,False,False,False,False,False
NP_001117515.1,True,True,True,True,True,True,False
NP_001117579.1,False,False,False,False,False,False,False
NP_001118254.1,False,False,False,False,False,False,False
NP_001118361.1,True,False,False,False,False,False,True
NP_001118398.1,False,False,False,False,False,False,False
NP_001118524.1,False,False,False,False,False,False,False
NP_001118592.1,False,False,False,False,False,False,False
NP_001118772.1,True,True,True,True,True,True,False
NP_001118968.1,True,True,True,True,True,True,False
NP_001119271.1,True,True,True,True,True,True,False
NP_001119319.1,True,True,True,True,True,True,False
NP_001119372.1,False,False,False,False,False,False,False
NP_001119446.2,False,False,False,False,False,False,False
NP_001119457.1,False,False,False,False,False,False,False
NP_001119465.1,False,False,False,False,False,False,False
NP_001119508.1,False,True,True,True,True,False,False
NP_001154222.1,True,True,True,True,True,True,False
NP_001154317.1,False,True,True,True,True,False,False
NP_001154351.1,False,False,False,False,False,False,False
NP_001154409.1,False,True,True,True,True,False,False
NP_001154428.1,False,False,False,False,False,False,False
NP_001154440.1,False,False,False,False,False,False,False
NP_001154566.1,False,False,False,False,False,False,False
NP_001154651.1,False,True,True,True,True,False,False
NP_001154662.2,False,False,False,False,False,False,False
NP_001154713.1,False,False,False,False,False,False,False
NP_001154757.1,True,True,True,True,True,True,False
NP_001154758.1,False,False,False,False,False,False,False
NP_001154780.1,True,True,True,True,True,True,False
NP_001184890.1,False,False,False,False,False,False,False
NP_001184893.1,False,False,False,False,False,False,False
NP_001184967.1,True,True,True,True,True,True,False
NP_001184970.1,True,True,True,True,True,True,False
NP_001185075.1,False,False,False,False,False,False,False
NP_001185129.1,False,False,False,False,False,False,False
NP_001185169.1,False,False,False,False,False,False,False
NP_001185204.1,False,False,False,False,False,False,False
NP_001185211.1,False,True,True,True,True,False,False
NP_001185212.1,False,True,True,True,True,False,False
NP_001185265.1,True,True,True,True,True,True,False
NP_001185281.1,False,False,False,False,False,False,False
NP_001185283.1,False,False,False,False,False,False,False
NP_001185313.1,False,False,False,False,False,False,False
NP_001185368.1,False,False,False,False,False,False,False
NP_001185370.1,False,False,False,False,False,False,False
NP_001185403.1,False,False,False,False,False,False,False
NP_001185452.1,False,False,False,False,False,False,False
NP_001189514.1,False,True,True,True,True,False,False
NP_001189524.1,False,False,False,False,False,False,False
NP_001189613.1,False,False,False,False,False,False,False
NP_001189713.1,False,False,False,False,False,False,False
NP_001189776.1,False,False,False,False,False,False,False
NP_001189858.1,False,False,False,False,False,False,False
NP_001189891.1,False,False,False,False,False,False,False
NP_001189957.1,False,False,False,False,False,False,False
NP_001190006.1,False,False,False,False,False,False,False
NP_001190109.1,False,False,False,False,False,False,False
NP_001190110.1,False,False,False,False,False,False,False
NP_001190146.1,False,False,False,False,False,False,False
NP_001190150.2,False,False,False,False,False,False,False
NP_001190152.1,False,False,False,False,False,False,False
NP_001190223.1,True,True,True,True,True,False,False
NP_001190242.1,False,False,False,False,False,False,False
NP_001190300.1,True,False,False,False,False,False,True
NP_001190303.1,False,False,False,True,True,False,False
NP_001190314.1,False,False,False,False,False,False,False
NP_001190331.1,False,True,True,True,True,False,False
NP_001190336.1,False,False,False,False,False,False,False
NP_001190337.1,False,False,False,False,False,False,False
NP_001190382.1,True,False,False,False,False,False,True
NP_001190383.1,True,False,False,False,False,False,True
NP_001190403.1,False,False,False,False,False,False,False
NP_001190408.1,False,False,False,False,False,False,False
NP_001190464.1,False,False,False,False,False,False,False
NP_001190474.1,False,False,False,False,False,False,False
NP_001190515.1,False,False,False,False,False,False,False
NP_001190545.1,False,False,False,False,False,False,False
NP_001190647.2,False,False,False,False,False,False,False
NP_001190648.1,False,False,False,False,False,False,False
NP_001190769.1,False,False,False,False,False,False,False
NP_001190782.1,False,False,False,False,False,False,False
NP_001190797.1,False,False,False,False,False,False,False
NP_001190808.1,False,False,False,False,False,False,False
NP_001190820.1,False,False,False,False,False,False,False
NP_001190866.1,True,False,False,False,False,False,True
NP_001190942.2,False,False,False,False,False,False,False
NP_001318171.1,True,False,False,False,False,False,True
NP_001318177.1,False,False,False,False,False,False,False
NP_001318178.1,False,False,False,False,False,False,False
NP_001318219.1,False,False,False,False,False,False,False
NP_001318220.1,True,True,True,True,True,True,False
NP_001318226.1,False,True,True,True,True,False,False
NP_001318248.1,True,True,True,True,True,True,False
NP_001318308.1,False,False,False,False,False,False,False
NP_001318322.1,False,True,True,True,True,False,False
NP_001318330.1,False,False,False,False,False,False,False
NP_001318398.1,False,False,False,False,False,False,False
NP_001318417.1,True,True,True,True,True,False,False
NP_001318457.1,False,False,False,False,False,False,False
NP_001318476.1,False,False,False,False,False,False,False
NP_001318482.1,False,False,False,False,False,False,False
NP_001318523.1,False,False,False,False,False,False,False
NP_001318538.1,False,True,True,True,True,True,False
NP_001318593.1,True,True,True,True,True,True,False
NP_001318594.1,False,True,True,True,True,False,False
NP_001318610.1,False,True,True,True,True,True,False
NP_001318625.1,False,False,False,False,False,False,False
NP_001318691.1,False,False,False,False,False,False,False
NP_001318694.1,True,True,True,True,True,True,False
NP_001318713.1,False,True,True,True,True,False,False
NP_001318718.1,True,True,True,True,True,True,False
NP_001318736.1,True,True,True,True,True,True,False
NP_001318742.1,True,True,True,True,True,True,False
NP_001318743.1,False,False,False,False,False,False,False
NP_001318842.1,False,False,False,False,False,False,False
NP_001318843.1,False,False,False,False,False,False,False
NP_001318872.1,False,False,False,False,False,False,False
NP_001318881.1,False,False,False,False,False,False,False
NP_001318944.1,False,True,True,True,True,False,False
NP_001318968.1,False,False,False,False,False,False,False
NP_001319018.1,False,True,True,True,True,False,False
NP_001319029.1,True,True,True,True,True,True,False
NP_001319041.1,False,False,False,False,False,False,False
NP_001319042.1,True,False,False,False,False,False,True
NP_001319057.1,False,False,False,False,False,False,False
NP_001319073.1,False,False,False,False,False,False,False
NP_001319086.1,False,False,False,False,False,False,False
NP_001319211.1,False,False,False,False,False,False,False
NP_001319213.1,True,True,True,True,True,True,False
NP_001319225.1,False,False,False,False,False,False,False
NP_001319256.1,False,False,False,False,False,False,False
NP_001319265.1,True,True,True,True,True,True,False
NP_001319266.1,True,True,True,True,True,True,False
NP_001319267.1,True,True,True,True,True,True,False
NP_001319285.1,False,False,False,False,False,False,False
NP_001319464.1,False,False,False,False,False,False,False
NP_001319465.1,True,True,True,True,True,True,False
NP_001319503.1,False,False,False,False,False,False,False
NP_001319549.1,True,True,True,True,True,True,False
NP_001319561.1,True,True,True,True,True,True,False
NP_001319574.1,False,False,False,False,False,False,False
NP_001319606.1,False,True,True,True,True,False,False
NP_001319642.1,True,True,True,True,True,True,False
NP_001319672.1,True,False,False,False,False,False,True
NP_001319689.1,True,True,True,True,True,False,False
NP_001319772.1,False,False,False,False,False,False,False
NP_001319784.1,False,True,True,False,False,False,False
NP_001319792.1,False,False,False,False,False,False,False
NP_001319837.1,False,True,True,True,True,False,False
NP_001319878.1,False,False,False,False,False,False,False
NP_001319894.1,False,False,False,False,False,False,False
NP_001319904.1,True,True,True,True,True,False,False
NP_001319926.1,False,False,False,False,False,False,False
NP_001319937.1,True,True,True,True,True,True,False
NP_001319960.1,False,False,False,False,False,False,False
NP_001319970.1,True,True,True,True,True,True,False
NP_001319971.1,True,True,True,True,True,True,False
NP_001319972.1,False,True,True,True,True,True,False
NP_001319973.1,False,True,True,True,True,True,False
NP_001319992.1,False,False,False,False,False,False,False
NP_001319993.1,False,False,False,False,False,False,False
NP_001320019.1,True,True,True,True,True,False,False
NP_001320040.1,True,True,True,True,True,False,False
NP_001320041.1,True,True,True,True,True,False,False
NP_001320042.1,True,True,True,True,True,False,False
NP_001320043.1,True,True,True,True,True,False,False
NP_001320044.1,True,True,True,True,True,False,False
NP_001320049.1,False,True,True,True,True,False,False
NP_001320081.1,False,True,True,True,True,False,False
NP_001320090.1,True,False,False,False,False,False,True
NP_001320110.1,False,True,True,False,False,False,False
NP_001320123.1,True,True,True,True,True,True,False
NP_001320287.1,False,False,False,False,False,False,False
NP_001320315.1,False,False,False,False,False,False,False
NP_001320323.1,True,True,True,True,True,True,False
NP_001320330.1,False,False,False,False,False,False,False
NP_001320331.1,False,False,False,False,False,False,False
NP_001320332.1,False,False,False,False,False,False,False
NP_001320333.1,False,True,True,False,False,False,False
NP_001320335.1,False,True,True,False,False,False,False
NP_001320358.1,False,False,False,False,False,False,False
NP_001320422.1,False,True,True,True,True,False,False
NP_001320487.1,False,True,True,True,True,False,False
NP_001320608.1,False,True,True,True,True,False,False
NP_001320706.1,False,False,False,False,False,False,False
NP_001320870.1,False,False,False,False,False,False,False
NP_001320871.1,False,False,False,False,False,False,False
NP_001320915.1,False,False,False,False,False,False,False
NP_001320916.1,False,False,False,False,False,False,False
NP_001320978.1,False,False,False,False,False,False,False
NP_001321031.1,False,False,False,False,False,False,False
NP_001321086.1,False,False,False,False,False,False,False
NP_001321210.1,True,True,True,True,True,False,False
NP_001321340.1,False,False,False,False,False,False,False
NP_001321370.1,True,True,True,True,True,False,False
NP_001321385.1,True,True,True,True,True,True,False
NP_001321386.1,True,True,True,True,True,True,False
NP_001321801.1,False,False,False,False,False,False,False
NP_001321940.1,True,True,True,True,True,False,False
NP_001322027.1,False,False,False,False,False,False,False
NP_001322169.1,False,False,False,False,False,False,False
NP_001322170.1,False,False,False,False,False,False,False
NP_001322203.1,True,True,True,True,True,True,False
NP_001322204.1,True,True,True,True,True,True,False
NP_001322205.1,True,True,True,True,True,True,False
NP_001322306.1,False,False,False,False,False,False,False
NP_001322307.1,False,False,False,False,False,False,False
NP_001322571.1,True,True,True,True,True,True,False
NP_001322614.1,False,False,False,False,False,False,False
NP_001322615.1,False,False,False,False,False,False,False
NP_001322616.1,False,False,False,False,False,False,False
NP_001322617.1,False,False,False,False,False,False,False
NP_001322618.1,False,False,False,False,False,False,False
NP_001322619.1,False,False,False,False,False,False,False
NP_001322686.1,False,False,False,False,False,False,False
NP_001322708.1,False,False,False,False,False,False,False
NP_001322741.1,False,True,True,True,True,False,False
NP_001322856.1,False,False,False,False,False,False,False
NP_001322914.1,True,True,True,True,True,True,False
NP_001323034.1,False,False,False,False,False,False,False
NP_001323035.1,False,False,False,False,False,False,False
NP_001323155.1,True,True,True,True,True,True,False
NP_001323213.1,True,True,True,True,True,True,False
NP_001323309.1,True,True,True,True,True,True,False
NP_001323365.1,False,True,True,True,True,False,False
NP_001323381.1,True,True,True,True,True,True,False
NP_001323397.1,False,False,False,False,False,False,False
NP_001323480.1,False,False,False,False,False,False,False
NP_001323490.1,True,True,True,True,True,False,False
NP_001323949.1,False,False,False,False,False,False,False
NP_001323950.1,True,False,False,False,False,False,True
NP_001323954.1,False,False,False,False,False,False,False
NP_001324219.1,True,True,True,True,True,True,False
NP_001324220.1,True,True,True,True,True,True,False
NP_001324409.1,True,True,True,True,True,False,False
NP_001324410.1,True,True,True,True,True,False,False
NP_001324411.1,True,True,True,True,True,False,False
NP_001324412.1,True,True,True,True,True,False,False
NP_001324428.1,False,False,False,False,False,False,False
NP_001324429.1,False,False,False,False,False,False,False
NP_001324441.1,False,False,False,False,False,False,False
NP_001324486.1,False,False,False,False,False,False,False
NP_001324651.1,False,False,False,False,False,False,False
NP_001324724.1,False,False,False,False,False,False,False
NP_001324937.1,False,True,True,True,True,False,False
NP_001324938.1,False,True,True,True,True,False,False
NP_001324939.1,False,True,True,True,True,False,False
NP_001324940.1,False,True,True,True,True,False,False
NP_001324941.1,False,True,True,True,True,False,False
NP_001324942.1,False,True,True,True,True,False,False
NP_001324943.1,False,True,True,True,True,False,False
NP_001324944.1,False,True,True,True,True,False,False
NP_001324945.1,False,True,True,True,True,False,False
NP_001324946.1,False,True,True,True,True,False,False
NP_001324947.1,False,True,True,True,True,False,False
NP_001324948.1,False,True,True,True,True,False,False
NP_001324949.1,False,True,True,True,True,False,False
NP_001324950.1,False,True,True,True,True,False,False
NP_001325073.1,False,True,True,True,True,False,False
NP_001325272.1,False,False,False,False,False,False,False
NP_001325297.1,False,True,True,False,False,False,False
NP_001325298.1,False,True,True,False,False,False,False
NP_001325299.1,False,True,True,False,False,False,False
NP_001325347.1,False,False,False,False,False,False,False
NP_001325405.1,False,False,False,False,False,False,False
NP_001325406.1,False,False,False,False,False,False,False
NP_001325407.1,False,False,False,False,False,False,False
NP_001325423.1,False,False,False,False,False,False,False
NP_001325615.1,False,False,False,False,False,False,False
NP_001325830.1,False,True,True,True,True,False,False
NP_001325969.1,False,False,False,False,False,False,False
