protein_id,blastp_default,blastp_filteroff,psiblast_default,psiblast_filteroff
NP_001030661.1,0.0,0.0,0.0,0.0
NP_001030662.1,0.0,0.0,0.0,0.0
NP_001030663.1,0.0,0.0,0.0,0.0
NP_001030664.1,0.0,0.0,0.0,0.0
NP_001030665.1,0.0,0.0,0.0,0.0
NP_001030666.1,0.0,0.0,0.0,0.0
NP_001030667.1,0.0,0.0,0.0,0.0
NP_001030668.1,0.0,0.0,0.0,50.9
NP_001030669.1,0.0,0.0,0.0,0.0
NP_001030670.1,0.0,0.0,0.0,0.0
NP_001030671.1,0.0,0.0,0.0,0.0
NP_001030672.1,0.0,0.0,0.0,0.0
NP_001030673.1,0.0,0.0,0.0,0.0
NP_001030675.1,0.0,0.0,0.0,0.0
NP_001030677.1,0.0,0.0,0.0,0.0
NP_001030678.1,0.0,0.0,0.0,0.0
NP_001030679.1,0.0,0.0,0.0,0.0
NP_001030680.1,0.0,0.0,0.0,0.0
NP_001030681.1,0.0,0.0,0.0,0.0
NP_001030682.1,0.0,0.0,0.0,0.0
NP_001030683.2,0.0,0.0,0.0,0.0
NP_001030685.1,0.0,0.0,0.0,0.0
NP_001030686.1,0.0,0.0,0.0,0.0
NP_001030687.1,0.0,0.0,0.0,0.0
NP_001030688.1,0.0,0.0,0.0,0.0
NP_001030689.1,0.0,0.0,0.0,0.0
NP_001030690.1,0.0,0.0,0.0,0.0
NP_001030691.1,0.0,0.0,0.0,0.0
NP_001030692.1,0.0,0.0,34.4,34.4
NP_001030694.1,0.0,0.0,0.0,0.0
NP_001030695.1,0.0,0.0,0.0,0.0
NP_001030696.1,0.0,0.0,0.0,0.0
NP_001030697.1,0.0,0.0,0.0,0.0
NP_001030698.1,0.0,0.0,0.0,0.0
NP_001030699.1,0.0,0.0,0.0,0.0
NP_001030700.1,0.0,0.0,0.0,0.0
NP_001030701.1,0.0,0.0,0.0,0.0
NP_001030702.1,0.0,0.0,0.0,0.0
NP_001030703.1,0.0,0.0,0.0,0.0
NP_001030704.1,0.0,0.0,0.0,0.0
NP_001030705.1,0.0,0.0,0.0,0.0
NP_001030706.1,0.0,0.0,0.0,0.0
NP_001030707.1,0.0,0.0,0.0,0.0
NP_001030708.1,0.0,0.0,0.0,31.6
NP_001030709.1,0.0,0.0,32.9,0.0
NP_001030710.1,0.0,0.0,0.0,0.0
NP_001030711.1,0.0,0.0,0.0,0.0
NP_001030714.1,0.0,0.0,0.0,0.0
NP_001030715.1,0.0,0.0,0.0,0.0
NP_001030716.1,0.0,0.0,0.0,0.0
NP_001030717.1,0.0,0.0,0.0,0.0
NP_001030718.2,0.0,0.0,0.0,0.0
NP_001030719.1,0.0,0.0,0.0,0.0
NP_001030720.1,0.0,0.0,0.0,0.0
NP_001030721.1,0.0,0.0,0.0,0.0
NP_001030722.1,0.0,0.0,0.0,0.0
NP_001030723.1,57.0,55.5,130.0,129.0
NP_001030724.2,0.0,0.0,0.0,0.0
NP_001030725.1,0.0,0.0,0.0,0.0
NP_001030726.2,0.0,0.0,0.0,0.0
NP_001030727.1,0.0,0.0,0.0,0.0
NP_001030728.1,0.0,0.0,0.0,0.0
NP_001030729.1,0.0,0.0,0.0,41.6
NP_001030730.1,0.0,0.0,0.0,0.0
NP_001030731.1,0.0,0.0,0.0,0.0
NP_001030732.1,0.0,0.0,0.0,0.0
NP_001030733.1,0.0,0.0,0.0,0.0
NP_001030734.1,0.0,0.0,0.0,0.0
NP_001030735.1,0.0,0.0,0.0,0.0
NP_001030736.1,0.0,0.0,0.0,0.0
NP_001030737.1,0.0,0.0,0.0,0.0
NP_001030738.1,0.0,0.0,0.0,31.1
NP_001030739.1,0.0,0.0,0.0,0.0
NP_001030741.1,0.0,0.0,0.0,0.0
NP_001030742.1,0.0,0.0,0.0,0.0
NP_001030743.1,0.0,0.0,0.0,0.0
NP_001030744.1,0.0,0.0,0.0,0.0
NP_001030745.1,0.0,0.0,0.0,0.0
NP_001030746.1,0.0,0.0,0.0,0.0
NP_001030747.1,0.0,0.0,0.0,0.0
NP_001030748.1,0.0,0.0,0.0,0.0
NP_001030749.1,0.0,0.0,0.0,0.0
NP_001030750.1,0.0,0.0,0.0,0.0
NP_001030751.1,0.0,0.0,0.0,0.0
NP_001030752.1,0.0,0.0,0.0,0.0
NP_001030753.1,0.0,0.0,0.0,53.7
NP_001030754.1,0.0,0.0,0.0,0.0
NP_001030755.1,0.0,0.0,0.0,0.0
NP_001030756.2,0.0,0.0,0.0,0.0
NP_001030757.1,0.0,0.0,0.0,0.0
NP_001030758.1,0.0,0.0,0.0,0.0
NP_001030759.1,0.0,0.0,0.0,0.0
NP_001030760.1,0.0,0.0,0.0,0.0
NP_001030761.1,0.0,0.0,0.0,0.0
NP_001030762.1,0.0,0.0,0.0,0.0
NP_001030763.1,0.0,0.0,0.0,0.0
NP_001030764.1,0.0,0.0,0.0,0.0
NP_001030765.1,0.0,0.0,0.0,0.0
NP_001030766.1,0.0,0.0,0.0,0.0
NP_001030767.1,0.0,0.0,0.0,0.0
NP_001030768.1,0.0,0.0,0.0,0.0
NP_001030769.1,32.0,30.0,32.0,30.0
NP_001030770.1,0.0,0.0,0.0,32.8
NP_001030771.1,0.0,0.0,0.0,0.0
NP_001030774.1,0.0,0.0,0.0,0.0
NP_001030776.2,0.0,0.0,0.0,0.0
NP_001030777.1,0.0,0.0,0.0,0.0
NP_001030778.1,0.0,0.0,0.0,41.6
NP_001030779.2,0.0,0.0,0.0,29.8
NP_001030780.1,0.0,0.0,0.0,0.0
NP_001030781.1,0.0,0.0,0.0,0.0
NP_001030782.2,0.0,0.0,0.0,0.0
NP_001030783.1,0.0,0.0,0.0,0.0
NP_001030784.1,53.5,51.2,168.0,172.0
NP_001030785.1,0.0,0.0,0.0,0.0
NP_001030786.1,0.0,0.0,0.0,0.0
NP_001030788.2,0.0,0.0,0.0,0.0
NP_001030789.1,0.0,0.0,0.0,31.2
NP_001030790.3,411.0,400.0,411.0,400.0
NP_001030791.1,0.0,0.0,0.0,0.0
NP_001030792.1,0.0,0.0,0.0,0.0
NP_001030794.1,0.0,0.0,0.0,0.0
NP_001030795.1,0.0,0.0,0.0,0.0
NP_001030796.1,0.0,0.0,0.0,0.0
NP_001030797.1,0.0,0.0,0.0,0.0
NP_001030798.1,0.0,0.0,0.0,0.0
NP_001030800.2,0.0,0.0,0.0,0.0
NP_001030801.1,0.0,0.0,0.0,0.0
NP_001030802.1,0.0,0.0,0.0,0.0
NP_001030803.1,0.0,0.0,0.0,0.0
NP_001030804.1,0.0,0.0,0.0,30.1
NP_001030806.2,0.0,0.0,0.0,0.0
NP_001030807.1,0.0,0.0,0.0,0.0
NP_001030808.1,0.0,0.0,33.2,66.4
NP_001030810.1,0.0,0.0,0.0,0.0
NP_001030811.1,84.7,84.7,194.0,180.0
NP_001030812.1,0.0,0.0,0.0,0.0
NP_001030813.1,0.0,0.0,0.0,0.0
NP_001030814.1,76.3,74.3,172.0,172.0
NP_001030815.1,0.0,0.0,0.0,0.0
NP_001030816.1,0.0,0.0,0.0,0.0
NP_001030817.1,0.0,0.0,0.0,0.0
NP_001030818.1,0.0,0.0,0.0,0.0
NP_001030819.1,0.0,0.0,0.0,0.0
NP_001030820.1,0.0,0.0,0.0,0.0
NP_001030821.1,0.0,0.0,0.0,0.0
NP_001030822.2,0.0,0.0,0.0,0.0
NP_001030823.1,0.0,29.6,0.0,29.6
NP_001030824.1,0.0,0.0,0.0,0.0
NP_001030825.1,0.0,0.0,0.0,0.0
NP_001030826.1,0.0,0.0,0.0,0.0
NP_001030827.1,0.0,0.0,31.2,0.0
NP_001030828.1,0.0,0.0,0.0,0.0
NP_001030829.1,1076.0,1045.0,1076.0,1045.0
NP_001030830.1,0.0,0.0,0.0,0.0
NP_001030831.1,0.0,0.0,0.0,0.0
NP_001030832.1,0.0,0.0,0.0,0.0
NP_001030833.1,0.0,0.0,0.0,0.0
NP_001030834.1,0.0,0.0,0.0,0.0
NP_001030835.1,0.0,0.0,0.0,0.0
NP_001030836.1,0.0,0.0,0.0,0.0
NP_001030837.1,0.0,0.0,0.0,0.0
NP_001030838.1,0.0,0.0,0.0,0.0
NP_001030839.5,0.0,29.6,33.5,29.6
NP_001030840.1,0.0,0.0,0.0,0.0
NP_001030841.1,0.0,0.0,0.0,0.0
NP_001030842.1,0.0,0.0,0.0,0.0
NP_001030843.1,0.0,0.0,0.0,0.0
NP_001030844.1,0.0,0.0,0.0,0.0
NP_001030845.1,0.0,0.0,0.0,0.0
NP_001030846.1,0.0,0.0,0.0,0.0
NP_001030847.1,0.0,0.0,0.0,0.0
NP_001030848.1,0.0,0.0,0.0,0.0
NP_001030849.1,0.0,0.0,0.0,0.0
NP_001030850.1,0.0,0.0,0.0,0.0
NP_001030851.1,0.0,0.0,0.0,0.0
NP_001030852.1,0.0,0.0,0.0,0.0
NP_001030853.1,104.0,108.0,189.0,195.0
NP_001030854.1,0.0,0.0,0.0,0.0
NP_001030855.1,0.0,0.0,0.0,0.0
NP_001030856.1,0.0,0.0,0.0,0.0
NP_001030857.1,0.0,0.0,0.0,0.0
NP_001030858.1,0.0,0.0,0.0,0.0
NP_001030860.1,0.0,0.0,0.0,0.0
NP_001030861.1,0.0,0.0,0.0,0.0
NP_001030862.1,0.0,0.0,0.0,0.0
NP_001030863.1,0.0,0.0,48.5,94.5
NP_001030864.1,0.0,0.0,0.0,0.0
NP_001030865.1,0.0,0.0,0.0,0.0
NP_001030866.1,0.0,0.0,0.0,0.0
NP_001030868.1,0.0,0.0,0.0,0.0
NP_001030870.1,0.0,0.0,0.0,0.0
NP_001030871.1,0.0,0.0,0.0,27.5
NP_001030872.1,0.0,0.0,0.0,0.0
NP_001030873.1,0.0,0.0,0.0,0.0
NP_001030874.1,0.0,29.3,0.0,29.3
NP_001030875.1,0.0,0.0,0.0,0.0
NP_001030876.1,0.0,0.0,0.0,0.0
NP_001030877.1,0.0,0.0,36.6,32.3
NP_001030878.1,122.0,118.0,224.0,226.0
NP_001030879.1,67.4,65.5,147.0,145.0
NP_001030880.1,67.4,65.5,147.0,145.0
NP_001030882.1,0.0,0.0,0.0,0.0
NP_001030883.1,0.0,0.0,0.0,0.0
NP_001030884.1,0.0,0.0,0.0,0.0
NP_001030885.1,0.0,0.0,38.8,54.4
NP_001030886.1,0.0,0.0,38.8,54.4
NP_001030887.1,0.0,0.0,34.6,38.5
NP_001030888.1,0.0,0.0,0.0,0.0
NP_001030889.1,0.0,0.0,0.0,0.0
NP_001030890.1,0.0,0.0,0.0,0.0
NP_001030891.1,0.0,0.0,0.0,0.0
NP_001030892.1,0.0,0.0,0.0,0.0
NP_001030893.1,223.0,227.0,310.0,317.0
NP_001030895.1,0.0,0.0,0.0,0.0
NP_001030896.1,0.0,0.0,0.0,0.0
NP_001030897.1,0.0,0.0,0.0,0.0
NP_001030898.1,0.0,0.0,0.0,0.0
NP_001030899.1,0.0,0.0,0.0,0.0
NP_001030900.1,0.0,0.0,0.0,0.0
NP_001030901.2,0.0,0.0,0.0,0.0
NP_001030902.1,0.0,0.0,0.0,30.5
NP_001030903.1,0.0,0.0,0.0,0.0
NP_001030904.1,0.0,0.0,0.0,0.0
NP_001030905.1,0.0,0.0,0.0,0.0
NP_001030907.1,0.0,0.0,0.0,0.0
NP_001030908.1,0.0,0.0,0.0,0.0
NP_001030909.1,0.0,0.0,0.0,0.0
NP_001030910.1,0.0,0.0,0.0,0.0
NP_001030911.1,0.0,0.0,0.0,0.0
NP_001030912.1,0.0,0.0,0.0,0.0
NP_001030914.1,0.0,0.0,0.0,0.0
NP_001030915.1,0.0,0.0,0.0,0.0
NP_001030916.1,106.0,107.0,218.0,215.0
NP_001030917.1,0.0,0.0,0.0,0.0
NP_001030918.4,0.0,0.0,0.0,29.5
NP_001030921.1,0.0,0.0,0.0,0.0
NP_001030922.1,0.0,0.0,0.0,0.0
NP_001030923.1,0.0,0.0,0.0,0.0
NP_001030924.1,0.0,0.0,0.0,0.0
NP_001030925.1,0.0,0.0,0.0,0.0
NP_001030926.1,0.0,0.0,0.0,0.0
NP_001030927.1,0.0,0.0,0.0,0.0
NP_001030928.1,0.0,0.0,0.0,0.0
NP_001030929.1,0.0,0.0,0.0,0.0
NP_001030930.1,0.0,0.0,0.0,0.0
NP_001030932.1,0.0,0.0,0.0,0.0
NP_001030933.1,0.0,0.0,0.0,0.0
NP_001030934.1,0.0,0.0,0.0,0.0
NP_001030936.1,0.0,0.0,0.0,0.0
NP_001030937.1,0.0,0.0,0.0,0.0
NP_001030938.1,0.0,0.0,0.0,0.0
NP_001030939.1,327.0,320.0,339.0,325.0
NP_001030940.1,327.0,320.0,339.0,325.0
NP_001030941.1,327.0,320.0,339.0,325.0
NP_001030942.1,0.0,0.0,0.0,0.0
NP_001030943.1,0.0,0.0,0.0,0.0
NP_001030944.1,0.0,0.0,0.0,0.0
NP_001030945.1,0.0,0.0,0.0,0.0
NP_001030946.1,0.0,0.0,0.0,0.0
NP_001030947.1,0.0,0.0,0.0,0.0
NP_001030948.1,0.0,0.0,0.0,0.0
NP_001030949.2,0.0,0.0,0.0,0.0
NP_001030950.4,173.0,172.0,279.0,280.0
NP_001030951.1,0.0,0.0,0.0,0.0
NP_001030952.1,0.0,0.0,0.0,0.0
NP_001030953.1,0.0,0.0,0.0,0.0
NP_001030954.1,0.0,0.0,0.0,0.0
NP_001030955.1,0.0,30.4,0.0,30.4
NP_001030956.1,0.0,0.0,0.0,0.0
NP_001030957.1,0.0,0.0,0.0,0.0
NP_001030958.1,0.0,0.0,0.0,0.0
NP_001030959.1,0.0,0.0,0.0,0.0
NP_001030960.1,0.0,0.0,0.0,0.0
NP_001030961.1,0.0,0.0,0.0,0.0
NP_001030963.1,0.0,0.0,0.0,0.0
NP_001030964.1,0.0,0.0,0.0,0.0
NP_001030965.1,0.0,0.0,0.0,0.0
NP_001030966.1,0.0,0.0,0.0,0.0
NP_001030967.1,0.0,0.0,0.0,0.0
NP_001030969.1,0.0,0.0,0.0,0.0
NP_001030970.1,0.0,0.0,0.0,0.0
NP_001030971.1,0.0,0.0,0.0,0.0
NP_001030972.2,0.0,0.0,0.0,30.5
NP_001030973.2,0.0,0.0,0.0,30.5
NP_001030974.1,0.0,0.0,0.0,0.0
NP_001030975.1,0.0,0.0,0.0,0.0
NP_001030976.1,0.0,0.0,0.0,0.0
NP_001030977.1,0.0,0.0,0.0,0.0
NP_001030978.1,0.0,0.0,0.0,0.0
NP_001030980.1,0.0,0.0,0.0,0.0
NP_001030981.1,221.0,224.0,307.0,315.0
NP_001030983.1,0.0,0.0,0.0,0.0
NP_001030984.1,0.0,0.0,0.0,0.0
NP_001030985.1,0.0,0.0,0.0,0.0
NP_001030986.1,0.0,0.0,0.0,0.0
NP_001030988.1,0.0,0.0,0.0,0.0
NP_001030989.1,0.0,0.0,0.0,0.0
NP_001030990.1,530.0,517.0,530.0,517.0
NP_001030991.2,0.0,0.0,0.0,0.0
NP_001030993.1,0.0,0.0,0.0,0.0
NP_001030994.1,0.0,0.0,0.0,0.0
NP_001030995.1,0.0,0.0,0.0,0.0
NP_001030996.1,0.0,0.0,0.0,0.0
NP_001030998.1,0.0,0.0,0.0,0.0
NP_001030999.1,0.0,0.0,0.0,0.0
NP_001031000.1,0.0,0.0,0.0,0.0
NP_001031001.2,0.0,0.0,0.0,0.0
NP_001031002.1,0.0,0.0,0.0,0.0
NP_001031003.1,0.0,0.0,0.0,0.0
NP_001031004.1,0.0,0.0,0.0,0.0
NP_001031005.1,0.0,0.0,0.0,0.0
NP_001031006.1,0.0,0.0,0.0,0.0
NP_001031007.1,0.0,0.0,0.0,0.0
NP_001031008.1,0.0,0.0,0.0,0.0
NP_001031010.1,0.0,0.0,0.0,0.0
NP_001031011.1,0.0,0.0,0.0,0.0
NP_001031012.1,0.0,0.0,0.0,0.0
NP_001031013.1,191.0,188.0,261.0,256.0
NP_001031014.1,0.0,0.0,30.6,0.0
NP_001031015.1,0.0,0.0,0.0,0.0
NP_001031016.2,0.0,0.0,0.0,0.0
NP_001031017.1,429.0,423.0,429.0,423.0
NP_001031018.1,0.0,0.0,0.0,33.3
NP_001031019.4,0.0,0.0,0.0,0.0
NP_001031020.1,0.0,0.0,0.0,0.0
NP_001031021.2,84.3,82.4,196.0,193.0
NP_001031022.1,211.0,202.0,323.0,317.0
NP_001031023.1,0.0,0.0,0.0,0.0
NP_001031024.1,0.0,0.0,0.0,0.0
NP_001031025.1,0.0,0.0,0.0,0.0
NP_001031026.1,0.0,0.0,0.0,0.0
NP_001031027.1,0.0,0.0,0.0,0.0
NP_001031028.1,0.0,0.0,0.0,0.0
NP_001031029.1,0.0,0.0,0.0,0.0
NP_001031030.1,0.0,0.0,0.0,0.0
NP_001031031.1,0.0,0.0,0.0,0.0
NP_001031032.1,0.0,0.0,0.0,0.0
NP_001031033.1,0.0,0.0,0.0,0.0
NP_001031034.1,0.0,0.0,0.0,0.0
NP_001031035.1,32.0,30.0,32.0,30.0
NP_001031037.1,0.0,0.0,0.0,0.0
NP_001031038.1,0.0,0.0,0.0,0.0
NP_001031039.1,0.0,0.0,0.0,0.0
NP_001031040.1,0.0,0.0,0.0,0.0
NP_001031041.1,0.0,0.0,0.0,0.0
NP_001031042.1,0.0,0.0,0.0,0.0
NP_001031043.1,0.0,0.0,0.0,0.0
NP_001031044.1,0.0,0.0,0.0,0.0
NP_001031045.1,0.0,0.0,0.0,0.0
NP_001031046.1,0.0,0.0,0.0,0.0
NP_001031047.1,0.0,0.0,0.0,0.0
NP_001031048.1,0.0,0.0,0.0,0.0
NP_001031049.1,0.0,0.0,0.0,0.0
NP_001031050.1,0.0,30.0,38.1,36.4
NP_001031051.1,0.0,30.0,38.1,36.4
NP_001031052.1,0.0,0.0,0.0,0.0
NP_001031054.1,0.0,0.0,0.0,0.0
NP_001031055.1,0.0,0.0,0.0,0.0
NP_001031056.1,0.0,0.0,0.0,0.0
NP_001031057.1,0.0,0.0,0.0,0.0
NP_001031058.1,0.0,0.0,0.0,0.0
NP_001031059.1,0.0,0.0,0.0,0.0
NP_001031060.1,0.0,0.0,0.0,0.0
NP_001031061.2,0.0,0.0,0.0,0.0
NP_001031062.1,0.0,0.0,0.0,0.0
NP_001031063.1,0.0,0.0,0.0,0.0
NP_001031064.1,0.0,0.0,0.0,0.0
NP_001031065.1,0.0,0.0,0.0,0.0
NP_001031066.1,0.0,0.0,0.0,0.0
NP_001031067.1,0.0,0.0,0.0,0.0
NP_001031068.1,0.0,0.0,0.0,0.0
NP_001031069.1,0.0,0.0,0.0,0.0
NP_001031070.1,0.0,0.0,0.0,0.0
NP_001031072.3,0.0,0.0,0.0,0.0
NP_001031073.1,0.0,0.0,0.0,0.0
NP_001031074.1,0.0,0.0,0.0,0.0
NP_001031075.1,0.0,0.0,0.0,0.0
NP_001031076.1,0.0,0.0,0.0,0.0
NP_001031077.1,0.0,0.0,0.0,0.0
NP_001031078.1,0.0,0.0,0.0,0.0
NP_001031079.1,0.0,0.0,0.0,0.0
NP_001031080.1,0.0,0.0,0.0,0.0
NP_001031081.1,0.0,0.0,0.0,0.0
NP_001031082.1,0.0,0.0,0.0,0.0
NP_001031083.1,0.0,0.0,0.0,0.0
NP_001031084.1,0.0,0.0,0.0,0.0
NP_001031085.2,0.0,0.0,0.0,0.0
NP_001031086.1,0.0,0.0,0.0,0.0
NP_001031087.1,0.0,0.0,0.0,0.0
NP_001031088.1,0.0,0.0,0.0,0.0
NP_001031089.1,0.0,0.0,0.0,0.0
NP_001031090.1,0.0,0.0,0.0,0.0
NP_001031091.1,0.0,0.0,0.0,0.0
NP_001031093.1,0.0,0.0,0.0,0.0
NP_001031094.1,0.0,0.0,0.0,0.0
NP_001031095.1,0.0,0.0,0.0,0.0
NP_001031096.2,0.0,0.0,0.0,0.0
NP_001031097.1,0.0,0.0,0.0,0.0
NP_001031098.1,0.0,0.0,0.0,0.0
NP_001031099.1,0.0,0.0,0.0,0.0
NP_001031100.2,0.0,0.0,0.0,33.1
NP_001031101.1,0.0,0.0,0.0,0.0
NP_001031102.2,0.0,0.0,0.0,0.0
NP_001031104.1,0.0,0.0,0.0,0.0
NP_001031105.1,0.0,0.0,0.0,0.0
NP_001031107.1,0.0,0.0,0.0,0.0
NP_001031108.1,0.0,0.0,0.0,31.6
NP_001031109.1,0.0,0.0,0.0,0.0
NP_001031110.1,0.0,0.0,0.0,0.0
NP_001031111.1,0.0,0.0,0.0,0.0
NP_001031112.1,0.0,0.0,0.0,0.0
NP_001031113.1,0.0,0.0,0.0,0.0
NP_001031115.1,0.0,0.0,0.0,0.0
NP_001031116.1,0.0,0.0,32.8,35.9
NP_001031117.1,0.0,0.0,0.0,29.3
NP_001031119.1,0.0,0.0,0.0,0.0
NP_001031120.1,38.5,43.1,154.0,175.0
NP_001031121.1,0.0,0.0,0.0,0.0
NP_001031122.1,0.0,0.0,0.0,0.0
NP_001031123.1,0.0,0.0,0.0,0.0
NP_001031124.1,0.0,0.0,0.0,38.7
NP_001031125.1,0.0,0.0,0.0,0.0
NP_001031126.1,0.0,0.0,0.0,0.0
NP_001031127.1,0.0,0.0,0.0,0.0
NP_001031128.1,0.0,0.0,0.0,0.0
NP_001031129.1,0.0,0.0,0.0,32.4
NP_001031130.1,0.0,0.0,0.0,0.0
NP_001031131.1,0.0,0.0,0.0,0.0
NP_001031132.1,0.0,0.0,0.0,0.0
NP_001031133.1,0.0,0.0,0.0,0.0
NP_001031134.1,0.0,0.0,27.5,0.0
NP_001031135.1,0.0,0.0,0.0,0.0
NP_001031136.1,0.0,0.0,0.0,0.0
NP_001031137.1,0.0,0.0,0.0,0.0
NP_001031138.4,0.0,0.0,0.0,0.0
NP_001031139.1,0.0,0.0,0.0,0.0
NP_001031141.1,0.0,0.0,0.0,0.0
NP_001031142.1,0.0,0.0,0.0,0.0
NP_001031143.1,0.0,0.0,0.0,0.0
NP_001031144.1,0.0,0.0,0.0,0.0
NP_001031145.1,0.0,0.0,0.0,0.0
NP_001031146.1,0.0,0.0,0.0,0.0
NP_001031147.1,0.0,0.0,0.0,0.0
NP_001031148.1,0.0,0.0,0.0,0.0
NP_001031149.1,0.0,0.0,0.0,0.0
NP_001031150.4,0.0,0.0,0.0,0.0
NP_001031151.1,0.0,0.0,0.0,0.0
NP_001031152.1,0.0,0.0,0.0,0.0
NP_001031153.1,0.0,0.0,0.0,0.0
NP_001031154.1,0.0,0.0,0.0,0.0
NP_001031155.4,91.7,89.4,191.0,180.0
NP_001031156.1,0.0,0.0,0.0,0.0
NP_001031157.1,0.0,0.0,0.0,0.0
NP_001031158.1,0.0,0.0,0.0,0.0
NP_001031159.1,0.0,0.0,0.0,0.0
NP_001031160.1,0.0,0.0,0.0,0.0
NP_001031161.1,0.0,0.0,0.0,0.0
NP_001031162.1,0.0,0.0,0.0,0.0
NP_001031163.1,0.0,0.0,0.0,0.0
NP_001031164.1,195.0,186.0,282.0,276.0
NP_001031165.1,0.0,0.0,0.0,0.0
NP_001031166.1,0.0,0.0,0.0,0.0
NP_001031167.1,0.0,0.0,0.0,0.0
NP_001031168.1,0.0,0.0,0.0,0.0
NP_001031171.1,0.0,0.0,0.0,0.0
NP_001031172.1,0.0,0.0,0.0,0.0
NP_001031173.1,0.0,0.0,0.0,0.0
NP_001031174.1,0.0,0.0,0.0,0.0
NP_001031175.1,0.0,0.0,0.0,0.0
NP_001031177.1,0.0,0.0,0.0,0.0
NP_001031178.1,0.0,0.0,0.0,0.0
NP_001031179.1,0.0,0.0,0.0,0.0
NP_001031180.1,0.0,0.0,0.0,0.0
NP_001031181.1,126.0,123.0,237.0,229.0
NP_001031182.1,0.0,0.0,0.0,0.0
NP_001031183.1,0.0,0.0,0.0,0.0
NP_001031184.1,0.0,0.0,0.0,0.0
NP_001031185.1,0.0,0.0,0.0,0.0
NP_001031186.1,0.0,0.0,0.0,31.4
NP_001031187.2,0.0,0.0,0.0,0.0
NP_001031189.1,0.0,0.0,0.0,0.0
NP_001031191.1,0.0,0.0,0.0,0.0
NP_001031192.1,0.0,0.0,0.0,0.0
NP_001031193.1,0.0,0.0,0.0,0.0
NP_001031194.1,0.0,0.0,0.0,0.0
NP_001031195.4,0.0,0.0,0.0,0.0
NP_001031196.1,0.0,0.0,0.0,0.0
NP_001031197.1,0.0,0.0,0.0,0.0
NP_001031198.1,0.0,0.0,0.0,0.0
NP_001031199.1,0.0,0.0,0.0,0.0
NP_001031200.1,0.0,0.0,0.0,0.0
NP_001031201.1,0.0,0.0,33.1,42.8
NP_001031202.1,0.0,0.0,0.0,28.7
NP_001031203.1,0.0,0.0,0.0,0.0
NP_001031204.1,0.0,0.0,0.0,0.0
NP_001031205.1,0.0,0.0,0.0,0.0
NP_001031206.1,0.0,0.0,0.0,0.0
NP_001031207.1,308.0,324.0,759.0,770.0
NP_001031208.1,0.0,0.0,0.0,34.3
NP_001031209.1,0.0,0.0,0.0,0.0
NP_001031210.1,0.0,0.0,0.0,0.0
NP_001031211.1,0.0,0.0,0.0,0.0
NP_001031212.1,0.0,0.0,0.0,0.0
NP_001031213.1,0.0,0.0,0.0,0.0
NP_001031214.1,0.0,0.0,0.0,0.0
NP_001031215.1,0.0,0.0,0.0,0.0
NP_001031216.1,821.0,835.0,907.0,953.0
NP_001031217.1,0.0,0.0,0.0,0.0
NP_001031218.2,0.0,0.0,0.0,0.0
NP_001031219.1,0.0,0.0,0.0,0.0
NP_001031220.1,0.0,0.0,0.0,0.0
NP_001031221.1,45.8,51.2,234.0,224.0
