species,percentile,top_n,n_candidates,pct_proteome,jaccard_vs_default,frac_default_retained,category_comp_L1_drift,is_default
vitis_vinifera,99.0,50,2354,5.793,1.0,1.0,0.0,True
vitis_vinifera,99.0,100,2354,5.793,1.0,1.0,0.0,False
vitis_vinifera,99.5,0,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.5,10,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.5,25,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.5,50,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.5,100,1210,2.978,0.514,0.514,0.1026,False
vitis_vinifera,99.9,0,248,0.61,0.1054,0.1054,0.3211,False
vitis_vinifera,99.9,10,248,0.61,0.1054,0.1054,0.3211,False
vitis_vinifera,99.9,25,248,0.61,0.1054,0.1054,0.3211,False
vitis_vinifera,99.9,50,300,0.738,0.1274,0.1274,0.299,False
vitis_vinifera,99.9,100,600,1.477,0.2549,0.2549,0.199,False
