Entry	RefSeq
Q5XQC7	NP_172362.3;
Q66GN2	NP_195776.2;
Q66GP0	NP_680473.2;
Q66GR6	NP_178377.2 [Q66GR6-1];
Q680Q4	NP_001032108.1 [Q680Q4-2];NP_001032109.2 [Q680Q4-1];NP_001119465.1 [Q680Q4-4];NP_001332003.1 [Q680Q4-3];NP_200849.2 [Q680Q4-3];NP_974969.1 [Q680Q4-4];
Q6NKW9	
Q6NNL9	NP_001078571.1 [Q6NNL9-2];NP_001332362.1 [Q6NNL9-1];NP_196724.3 [Q6NNL9-1];
Q6NPN4	NP_177886.2;
Q6NQ72	NP_198588.2 [Q6NQ72-1];
Q6XBF8	NP_198319.1;
Q6XMI3	NP_187755.2;
Q7FK82	NP_001319689.1;
Q7G1L2	NP_175008.1;
Q7X8C5	NP_173064.1;
Q7X9V3	NP_001077641.1 [Q7X9V3-3];NP_564387.1 [Q7X9V3-2];NP_973950.1 [Q7X9V3-1];
Q7XJE6	
Q7XJJ7	NP_201249.2;
Q7XYY2	NP_001077596.1 [Q7XYY2-2];NP_173925.3 [Q7XYY2-1];
Q7XZF5	NP_189404.2;
Q84JA6	NP_199216.2;
Q84TG3	NP_181137.2;
Q84VQ0	NP_197613.2;
Q84W41	NP_001326369.1;NP_190716.3;
Q84WK4	NP_001190797.1;
Q84WM7	NP_177152.2;
Q84WV6	NP_568000.1;
Q84WW2	NP_568445.1;
Q8GSA7	NP_001118361.1;NP_850023.1;
Q8GUI6	NP_001031681.1 [Q8GUI6-2];NP_193773.2 [Q8GUI6-1];
Q8GUJ2	NP_564997.1;
Q8GWD2	NP_001324486.1 [Q8GWD2-1];NP_850454.5 [Q8GWD2-1];
Q8GWJ7	NP_001329528.1 [Q8GWJ7-1];NP_194058.2 [Q8GWJ7-1];
Q8GX72	NP_193633.2;
Q8GXQ3	NP_173062.1;
Q8GXV7	NP_199211.2;
Q8GXW1	NP_186995.1;
Q8GY82	NP_192926.1 [Q8GY82-2];NP_849362.1 [Q8GY82-1];
Q8GYA4	NP_567679.2 [Q8GYA4-1];
Q8GYC1	NP_001118254.1 [Q8GYC1-2];NP_001318178.1 [Q8GYC1-2];NP_001325405.1 [Q8GYC1-1];NP_001325406.1 [Q8GYC1-1];NP_001325407.1 [Q8GYC1-1];NP_178317.2 [Q8GYC1-1];
Q8GYD9	NP_172037.1;
Q8GYN5	NP_189143.2;
Q8H0V5	NP_196688.2;
Q8H0X6	
Q8H166	NP_568921.1 [Q8H166-1];
Q8H186	NP_191105.2 [Q8H186-1];
Q8H1D4	
Q8H1D6	NP_568231.1;
Q8L3R3	NP_172685.1;
Q8L539	
Q8L617	NP_197926.2;
Q8L710	NP_001320042.1;
Q8L746	NP_199324.2;
Q8L7G3	NP_194046.2;
Q8L7Q7	NP_568991.2;
Q8L7R2	NP_179318.1;
Q8L7S8	NP_001031943.1 [Q8L7S8-1];NP_680225.2 [Q8L7S8-2];
Q8LAD7	NP_564941.1;
Q8LBL5	NP_189124.1;
Q8LBM2	NP_564349.1;
Q8LD98	NP_564862.1;
Q8LDC8	NP_188965.1;
Q8LDU4	NP_195417.1;
Q8LE06	NP_564183.1;
Q8LEM4	NP_567642.1 [Q8LEM4-1];
Q8LFS6	NP_001329301.1 [Q8LFS6-2];NP_567249.1 [Q8LFS6-1];NP_849294.1;
Q8LFX7	NP_564837.1;
Q8LGA5	NP_198094.1;
Q8LGB6	NP_001030878.1;NP_567053.1;
Q8LGE3	NP_566861.1;
Q8LL04	NP_180912.2;
Q8LLD0	NP_178183.2;
Q8LPK5	NP_567564.1;
Q8LPL3	NP_197609.1;
Q8LPS2	NP_567430.1 [Q8LPS2-1];NP_849381.1 [Q8LPS2-2];NP_849382.1 [Q8LPS2-2];
Q8LPS5	NP_001318220.1;NP_001324219.1;NP_001324220.1;NP_179000.3;
Q8RUS5	NP_850164.1;
Q8RW96	
Q8RWE8	NP_567759.1;
Q8RX26	NP_001032132.1;NP_201202.2;
Q8RXD5	NP_565061.1 [Q8RXD5-1];
Q8RXD6	NP_182022.2;
Q8RXG3	NP_001319606.1;NP_188759.1;
Q8RXK7	
Q8RXV3	NP_001328538.1;NP_194903.2;
Q8RXX9	NP_566249.1;
Q8RY17	NP_178085.1 [Q8RY17-1];
Q8RY18	NP_199169.1 [Q8RY18-1];NP_851125.1 [Q8RY18-1];
Q8RY59	NP_001320330.1 [Q8RY59-2];NP_001320331.1 [Q8RY59-2];NP_001320332.1 [Q8RY59-2];NP_564391.1 [Q8RY59-1];NP_849739.1 [Q8RY59-2];
Q8RY65	NP_189183.2 [Q8RY65-1];
Q8RY71	NP_175806.3 [Q8RY71-1];NP_850963.1 [Q8RY71-2];
Q8S8P5	NP_181381.2;
Q8S8S9	NP_179943.1;
Q8VY27	NP_191075.2;
Q8VY57	NP_190556.2;
Q8VYA3	NP_178086.1;
Q8VYB9	NP_192008.3;
Q8VYC8	NP_001328533.1;NP_194253.2;NP_849552.1;
Q8VYE5	
Q8VYF7	NP_177282.2;
Q8VZ20	NP_850213.1 [Q8VZ20-1];
Q8VZ52	NP_850532.1 [Q8VZ52-1];NP_850533.1 [Q8VZ52-2];
Q8VZ91	NP_567529.1;
Q8VZF4	NP_191332.2;
Q8VZG2	NP_190662.2;
Q8VZG8	NP_192625.4 [Q8VZG8-2];NP_849538.2 [Q8VZG8-1];
Q8VZK0	NP_197366.1;
Q8VZS8	NP_001331305.1;NP_199491.2;
Q8W453	NP_568699.1;
Q8W491	NP_567953.1;
Q8W493	
Q8W4C8	NP_568553.1;
Q8W4J8	NP_001031264.4 [Q8W4J8-2];NP_177227.5 [Q8W4J8-1];
Q8W4J9	NP_001318736.1 [Q8W4J9-1];NP_001332592.1 [Q8W4J9-1];NP_199160.1 [Q8W4J9-1];NP_851124.1 [Q8W4J9-1];
Q8W4Q5	NP_568760.1 [Q8W4Q5-1];
Q93VB2	NP_567132.4 [Q93VB2-1];
Q93VJ2	NP_568444.1 [Q93VJ2-1];
Q93VM9	NP_568219.1 [Q93VM9-1];
Q93VP3	NP_001077597.1 [Q93VP3-2];NP_173985.1 [Q93VP3-1];
Q93VT9	NP_563945.2 [Q93VT9-1];
Q93VV9	NP_567078.1;
Q93WF6	NP_001078346.1 [Q93WF6-2];NP_567231.1 [Q93WF6-1];
Q93WU8	NP_181607.1;
Q93WU9	NP_568995.2;
Q93YN9	NP_568613.1;
Q93Z04	NP_191052.2;
Q93ZE2	NP_565162.1;
Q93ZE8	NP_565585.1;
Q93ZH0	NP_564153.1 [Q93ZH0-1];NP_849697.1 [Q93ZH0-2];
Q93ZM9	NP_001154713.1 [Q93ZM9-3];NP_568287.1 [Q93ZM9-1];NP_974775.1 [Q93ZM9-2];NP_974776.1 [Q93ZM9-2];
Q93ZN9	NP_567934.1;
Q93ZS4	NP_176279.1;
Q940H6	NP_567945.1 [Q940H6-1];
Q940L4	NP_567131.1;
Q940L5	
Q941L0	NP_196136.1;
Q941L2	NP_001190150.2 [Q941L2-1];NP_567111.1 [Q941L2-1];
Q941L3	NP_568944.1;NP_974977.1;
Q941R4	NP_001189524.1 [Q941R4-1];NP_001318219.1 [Q941R4-2];NP_565357.1 [Q941R4-1];NP_849952.1 [Q941R4-2];
Q944A7	NP_567980.1;
Q945F0	NP_195614.2;
Q945P1	NP_565899.1;
Q949P1	NP_567581.1 [Q949P1-1];
Q949Q0	NP_001324724.1;NP_565939.1;
Q949S9	NP_566599.1;
Q94A02	NP_567706.1;NP_974608.1;
Q94A06	NP_194337.1 [Q94A06-1];NP_849446.1 [Q94A06-2];NP_974619.1 [Q94A06-1];
Q94AH9	NP_567724.1;
Q94AP3	NP_001185403.1;NP_565111.1;
Q94AQ6	NP_001078550.1 [Q94AQ6-2];NP_568207.1 [Q94AQ6-1];NP_850795.1 [Q94AQ6-1];NP_974753.1 [Q94AQ6-3];
Q94AS9	NP_001332114.1 [Q94AS9-1];NP_200236.1 [Q94AS9-1];NP_851188.1 [Q94AS9-1];
Q94BN2	NP_001078748.1 [Q94BN2-1];NP_001078749.1 [Q94BN2-1];NP_568785.1 [Q94BN2-1];NP_851178.1 [Q94BN2-1];NP_851179.1 [Q94BN2-1];
Q94BR4	NP_563708.1 [Q94BR4-1];
Q94C26	NP_566702.1;
Q94CD5	NP_568652.1;
Q94F58	NP_568414.1;
Q94F62	NP_567920.1 [Q94F62-1];
Q94FL9	NP_001330337.1 [Q94FL9-1];NP_001330338.1 [Q94FL9-1];NP_568249.1 [Q94FL9-1];
Q94IB9	NP_567660.1;
Q94ID6	NP_174158.1;
Q94K85	NP_567215.1 [Q94K85-1];NP_849281.1 [Q94K85-2];
Q96242	NP_199079.1;
Q96266	NP_001323480.1 [Q96266-1];NP_850479.1 [Q96266-1];
Q96285	
Q96524	NP_171935.1;NP_849588.1;
Q9ASP6	NP_001031566.1 [Q9ASP6-1];NP_001190647.2 [Q9ASP6-3];NP_001190648.1 [Q9ASP6-2];NP_001328329.1 [Q9ASP6-3];NP_001328330.1 [Q9ASP6-1];NP_567192.1 [Q9ASP6-1];
Q9ASS4	
Q9ASZ1	NP_567163.1;
Q9C4Z6	NP_175296.1;
Q9C525	NP_176801.1 [Q9C525-1];NP_849848.1 [Q9C525-2];
Q9C544	NP_177096.1;
Q9C5C2	NP_001031940.1 [Q9C5C2-2];NP_568479.1 [Q9C5C2-1];NP_851076.2 [Q9C5C2-2];
Q9C5H5	NP_569040.1;
Q9C5K8	NP_197590.1;
Q9C5Q8	NP_001190782.1;NP_567616.1;
Q9C5Q9	
Q9C5S1	NP_567018.5;
Q9C5S2	NP_565419.1;
Q9C5S8	NP_567677.1 [Q9C5S8-1];NP_849425.1 [Q9C5S8-2];
Q9C5S9	NP_567678.1 [Q9C5S9-1];NP_849426.1 [Q9C5S9-2];
Q9C5T4	NP_567882.1 [Q9C5T4-1];
Q9C5U0	NP_001324428.1 [Q9C5U0-2];NP_001324429.1 [Q9C5U0-2];NP_565277.1 [Q9C5U0-2];NP_849925.1 [Q9C5U0-1];NP_973396.1 [Q9C5U0-2];
Q9C5U1	NP_564276.1;
Q9C5X8	NP_564001.1;
Q9C664	NP_173944.1;
Q9C6W5	NP_564383.1;
Q9C768	NP_187742.1;
Q9C793	NP_177103.1;
Q9C7C4	NP_001030677.1 [Q9C7C4-2];NP_187821.1 [Q9C7C4-1];NP_850568.1 [Q9C7C4-1];
Q9C7F7	NP_174116.1;
Q9C7S0	NP_174998.1 [Q9C7S0-1];
Q9C7S6	NP_177373.1;
Q9C7X0	NP_176043.1;
Q9C811	NP_001185129.1 [Q9C811-2];
Q9C895	NP_001154428.1 [Q9C895-2];NP_564680.4 [Q9C895-1];
Q9C8E7	NP_001322169.1;NP_001322170.1;NP_174978.1;
Q9C8I6	NP_175591.1;
Q9C8K2	NP_175561.1;
Q9C8W9	NP_001323397.1;NP_177338.1;
Q9C8Y9	NP_176802.1 [Q9C8Y9-1];
Q9C9B9	NP_001320870.1;NP_001320871.1;NP_177538.1;
Q9C9C8	NP_177548.1;
Q9C9D0	NP_177550.1;
Q9C9E3	NP_565043.1;
Q9C9L5	NP_177131.1;
Q9C9M3	NP_564881.3 [Q9C9M3-1];NP_974096.1 [Q9C9M3-2];
Q9C9T2	NP_565074.2;
Q9CAE3	NP_001326316.1;NP_187650.4;
Q9CAQ8	NP_177871.1;
Q9FDW1	NP_201531.1;
Q9FDX9	NP_001325615.1 [Q9FDX9-2];NP_567147.1 [Q9FDX9-1];NP_850741.1 [Q9FDX9-1];
Q9FE20	NP_196820.1;
Q9FE63	NP_001119446.2;NP_200471.3;
Q9FE67	NP_199234.1;
Q9FF98	NP_197771.1;
Q9FFF6	NP_196179.1;
Q9FFI2	NP_197231.1;
Q9FFK6	NP_196187.1;
Q9FFN7	NP_001318872.1 [Q9FFN7-1];NP_201182.1 [Q9FFN7-1];
Q9FG29	NP_001190242.1 [Q9FG29-1];NP_196296.1 [Q9FG29-2];
Q9FG34	NP_196291.1;
Q9FGH9	NP_200651.1;
Q9FGR9	NP_568722.1;
Q9FGS0	NP_199836.1;
Q9FHE4	NP_199323.2 [Q9FHE4-2];NP_851134.1 [Q9FHE4-1];
Q9FHG4	NP_200394.1;
Q9FHK4	NP_196138.1;
Q9FHW2	NP_568545.1;
Q9FHX3	NP_199027.1;
Q9FHX5	
Q9FI46	NP_199915.1;
Q9FIJ0	NP_199602.1;
Q9FIP9	NP_199488.1;
Q9FIR9	NP_197854.1;
Q9FIW0	NP_850917.2;
Q9FIW1	NP_198508.1;
Q9FIW4	NP_001031975.1 [Q9FIW4-2];NP_198505.2 [Q9FIW4-1];
Q9FJ47	NP_568651.1;
Q9FJR0	NP_199512.2;
Q9FJV0	NP_200469.1;
Q9FKA4	NP_198774.1 [Q9FKA4-1];
Q9FKN7	NP_197291.2;
Q9FKS4	NP_001332642.1;NP_001332643.1;NP_198898.2;
Q9FKS8	NP_851109.1 [Q9FKS8-1];
Q9FKW4	NP_001078806.1 [Q9FKW4-2];NP_001119508.1 [Q9FKW4-3];NP_001331200.1 [Q9FKW4-3];NP_201422.1 [Q9FKW4-1];NP_851280.1 [Q9FKW4-1];
Q9FL26	NP_199447.1;
Q9FL28	NP_001330009.1;NP_199445.1;
Q9FL69	NP_568807.1;
Q9FL92	NP_851133.1 [Q9FL92-1];
Q9FLC8	NP_568153.2;
Q9FLG1	
Q9FLN0	NP_198915.1;
Q9FLN9	
Q9FLR1	NP_196386.1;
Q9FLV0	NP_197841.1;
Q9FLY0	NP_200093.1;
Q9FM96	NP_568840.3;
Q9FMM3	NP_199109.1;
Q9FN05	NP_201189.1;
Q9FN18	NP_201534.1;
Q9FNH6	NP_196250.1;
Q9FNK4	NP_199430.1;
Q9FNL7	
Q9FNR3	NP_001032116.1;NP_200909.1;
Q9FNX5	NP_567094.1;
Q9FNX8	NP_177396.1;
Q9FNZ5	NP_563653.2;
Q9FPR3	NP_563824.1;
Q9FR53	NP_175425.2 [Q9FR53-1];
Q9FT77	NP_001319972.1 [Q9FT77-1];NP_193432.4 [Q9FT77-2];NP_849399.1 [Q9FT77-1];NP_849400.2 [Q9FT77-3];
Q9FUS6	NP_174033.1;
Q9FVW4	NP_001117406.1 [Q9FVW4-2];NP_174660.2 [Q9FVW4-1];
Q9FWR4	NP_173387.1 [Q9FWR4-1];
Q9FWS6	NP_001322708.1;NP_177671.1;NP_849890.1;NP_849891.1;
Q9FX43	NP_177492.1;
Q9FY48	NP_196857.2 [Q9FY48-1];
Q9FYC2	NP_190074.1;
Q9FZ59	NP_173217.1;
Q9FZC4	NP_564244.1;
Q9LDD1	NP_566438.1;
Q9LDE1	NP_187301.1;
Q9LDE4	NP_188666.1;
Q9LDH1	NP_001325423.1;NP_191230.1;
Q9LDU5	NP_564019.1;
Q9LDX1	NP_001331491.1;NP_197747.1;
Q9LES2	NP_001190109.1;NP_001190110.1;NP_001319772.1;NP_001325969.1;NP_001325970.1;NP_001325971.1;NP_001325972.1;NP_001325973.1;NP_567042.1;NP_850710.1;NP_850711.1;
Q9LEZ4	NP_001332071.1 [Q9LEZ4-2];NP_196429.1 [Q9LEZ4-1];
Q9LFD5	NP_001078595.1 [Q9LFD5-2];NP_001078596.1 [Q9LFD5-3];NP_197186.1 [Q9LFD5-1];
Q9LFL6	NP_196702.1;
Q9LFP7	NP_197012.1;
Q9LFS4	NP_197104.1;
Q9LFT6	NP_196592.1;
Q9LG26	NP_001322686.1 [Q9LG26-3];NP_175983.5 [Q9LG26-1];
Q9LIS3	NP_189024.1;
Q9LJ86	NP_566712.1;
Q9LJH5	
Q9LJR2	NP_683568.1;
Q9LJS0	NP_189138.1;
Q9LJX4	
Q9LK35	NP_200249.1;
Q9LK40	NP_001189957.1;NP_189020.2;
Q9LKG8	NP_197847.3;
Q9LM66	NP_564126.1;
Q9LM69	NP_173506.1;
Q9LM92	NP_564119.1;
Q9LMA1	NP_173359.3;
Q9LMA8	NP_001319041.1 [Q9LMA8-1];NP_564075.1 [Q9LMA8-1];
Q9LMJ4	NP_172181.1;
Q9LMT9	NP_173233.1;
Q9LN59	NP_173372.1;
